,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5
2014-07-31,128.58,118.36916674923212,176.58048596419079,162.28452489829385,245.6702406700106,136.64062971669324,166.1639537971202,213.32373526471687,202.90377422645358,165.28596127076284,108.49024004194328
2014-08-31,129.8,118.51778460319034,181.59530401380474,166.38978418324976,250.7790713726934,146.22431932917854,179.31211861296617,228.463371292208,202.41414484869088,167.2772127631116,108.81623396096016
2014-09-30,129.4,118.46824531853758,184.33759714408063,166.6813733219801,246.47094013160924,149.13946637171236,177.44869928249273,221.81812199280634,205.6579394763686,166.70831207303965,108.76171959558086
2014-10-31,129.86,118.54750817398197,184.25746520196216,167.0423013445184,245.33799641065758,151.60145074591804,182.2318869026781,226.71245676259906,208.56851411084665,167.8861406003081,109.05425023384576
2014-11-30,131.01,118.67631031407906,190.63982599921138,172.49571625300914,252.47802678201649,157.50924060536576,186.3977821479559,228.46413727111948,208.66371982318935,169.42847376686169,109.31927544549853
2014-12-31,132.12,118.97354602199543,187.75952785750928,169.83019542296088,253.22718696792603,163.17818997328882,197.3560526381769,229.68770191884937,218.84393063583812,170.25081367065783,109.18979141552656
2015-01-31,134.82,119.53829386703656,175.15888595401526,156.01833338589466,235.49951681929042,138.27059497167127,167.21737699692827,199.41438693457968,229.0105406324379,173.12117624329372,109.7360273425786
2015-02-28,134.22,119.72654314871693,189.13215834750127,169.86890157368572,260.1352905986839,157.5377721950783,191.029947670397,221.2072472457343,237.47024821489288,171.80315362399253,109.50297594814285
2015-03-31,134.74,119.72654314871693,193.699679048253,174.741987027868,265.29474023284706,156.49831778857885,193.1383478755634,220.02092778681538,236.70180210812646,172.5674343490387,109.60664261017561
2015-04-30,134.46,119.80580600416128,195.20374288246043,175.62026553975215,268.72118172196406,155.25972302490757,190.16520456132582,229.6751634829377,239.1907514450867,171.42269757211574,109.49374127422611
2015-05-31,134.81,120.11294956900822,198.79378108292596,180.98156149147982,268.9383829552253,153.99785599557552,190.61051647118526,217.9093161731861,222.7337640258415,170.52109599084528,109.45789485181822
2015-06-30,133.49,120.13276528286931,189.0651697398044,172.9767784120176,256.24315493994754,156.48728406113867,196.49719341821591,220.92378858798415,225.1955117307038,168.25262678153004,109.09754397392841
2015-07-31,134.35,120.03368671356385,202.64499005770347,184.70148328024644,271.51350605126316,163.61088382756935,200.91328601114054,211.3415197103637,232.39034342060526,169.75899496192963,109.25026363504568
2015-08-31,134.67,119.90488457346675,190.46408689863944,171.44904180726817,260.99949381068524,154.90100340077245,192.8774297995676,194.96660924022154,222.74736484189052,169.1266849298782,109.09009665625366
2015-09-30,134.58,119.89497671653622,184.00286609486093,163.51182103924228,252.97133127789792,153.5008464503037,189.98324024215245,194.60508274791763,221.76810608636518,169.97141625756083,109.25234888399461
2015-10-31,135.8,120.32101456454967,193.61997108466426,175.60990044887362,269.31020201555384,168.01854783841682,203.72338032641406,211.48161545600678,225.1343080584835,170.352863080406,109.2620800457563
2015-11-30,136.69,120.7371445556326,195.72841631299792,178.27063819945968,279.0281165155768,181.74718624276187,223.90646500270535,220.9396466077741,223.46140768446108,170.2699355503485,109.15811549101655
2015-12-31,134.46,119.69681957792528,192.78240149918807,174.92042217246419,281.11177580415074,166.99058848836103,204.14408083266324,202.24756274586036,227.98367902074125,169.3642718081075,108.7469242578003
