,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged
2010-11-30 04:00:00,271.38814180380393,85.71622327395637,73.66797459906374,129.66072224503355,83.91278529483785,120.42285417286196,94.31207596009989,125.39693418861675,114.42413661166282
2010-12-31 05:00:00,259.506957882086,87.92900453004336,72.73290938536942,125.56637787226799,82.187883341754,123.8112706567457,90.49663210693588,125.89124066420567,107.2106590657769
2011-01-31 05:00:00,244.84888813396074,91.76808906156269,75.9981062883101,127.93456819463782,83.1190720212669,125.88023182135146,92.70862919435746,124.6124938402997,106.92814015456938
2011-02-28 05:00:00,255.73276082407307,94.19502661730047,77.21244968436815,128.42921532909182,82.94589162942236,127.7133305549425,92.66141889899387,124.56168147754616,105.29642872729002
2011-03-31 05:00:00,257.1879426433726,95.71938647085719,75.30875753583175,127.13747684141288,82.73245854542573,127.79408565875792,91.76171637777767,126.52128276287313,105.84788103609752
2011-04-30 04:00:00,266.253041992726,95.10129170237056,75.16644939930265,122.93410922245293,79.6290406109911,129.86238026992308,88.58967985470028,128.7068124117021,102.29848732382116
2011-05-31 04:00:00,254.83247244122572,87.88869743276773,72.32941109732037,119.81603270375818,75.39823772743812,130.06250331713517,86.45168834310894,130.59709388041668,101.14023490700099
2011-06-30 04:00:00,243.48971863754704,82.3999364393117,70.21868370118887,114.45644980511503,72.47410928526288,129.34746129187315,84.18001406617347,131.43688920323143,99.66404500647269
2011-07-31 04:00:00,253.89381395934393,82.8619509685487,65.4174957145666,107.32372242720845,69.48469872829519,129.83351327592848,81.24911368691753,134.05735760890255,97.74488972470726
2011-08-31 04:00:00,291.40961156771095,84.37222552907735,62.917092017724194,103.40578044432307,70.33407078011132,126.29133724287502,80.79310338151939,134.74837583257715,100.43749001723654
2011-09-30 04:00:00,284.0206682908434,78.94158472033045,64.63224094073544,106.75489425031867,75.48485445170644,119.59607937099645,83.84517603247808,128.29407848243434,104.79470344077595
2011-10-31 04:00:00,288.860898131679,81.63621473219881,66.93630783078905,109.94018878208216,69.8368471388189,129.75194413159628,87.3848288429146,134.90614507116044,105.85843811528778
2011-11-30 04:00:00,313.7334079187754,86.9597925691353,71.05006083757416,114.15856117707082,75.14056028254362,126.60297512778807,91.0871110775866,133.17006588137147,111.63264487246241
2011-12-31 05:00:00,286.06273925468906,86.18454358077055,72.31358165807231,116.6232676691161,76.78659089407768,132.36593205774986,97.19762394208897,135.71643762519633,116.1136991599061
2012-01-31 05:00:00,309.4792779453077,86.78861956111047,72.1972708653439,120.30862282285828,73.32809780048623,134.30490249938148,95.77981666921083,137.26222246678122,114.05248315856744
2012-02-29 05:00:00,294.0545058014517,89.53262281910742,73.2012938728205,122.02726196199978,70.27714978486131,137.12845749612282,95.75853241710983,140.6537885652419,114.43869810264897
2012-03-31 05:00:00,292.61430576832834,88.68538516113507,73.96399477243082,123.84420385341622,70.5306652885537,135.82138852693632,95.64456644231595,140.48305045383515,115.26239754674555
2012-04-30 04:00:00,293.9537554225592,88.01518769062493,74.6438917837437,122.0368969862045,69.75167708794704,137.36531428963428,97.31864473623304,142.99325719516165,118.0337242281177
2012-05-31 04:00:00,294.61761232739394,83.67432320588965,73.62349536384824,124.12894489427757,74.9710509108304,132.9409663980008,100.7846107391374,139.03137883220583,122.80606178050245
2012-06-30 04:00:00,294.3782241519954,83.33353548451751,76.08153396684129,123.6673774254382,69.63099585673774,139.131720674812,102.96775912609321,144.68272891342562,124.75655678486497
2012-07-31 04:00:00,306.87818322574304,91.16885578319199,79.37124462263785,129.29563173647713,73.72246658455154,140.55408653567295,107.53653771510498,150.09787895374873,133.80080031468046
