,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,em_debt,cash
2011-05-31,0.014455931312423509,0.007864867280364507,0.001663052299668566,-0.01120495476333394,-0.014892353928779967,-0.05251856923758991,-0.0528323914429768,-0.058275194255756,0.012189512419503279,0.009384654363567613,0.005039579348604217,-0.042893667865820495,-0.07584111199482291,-0.037743255116122754,-0.025363802932768076,-0.053131405968101286,0.0015421942464177718,0.014686497912046459,0.00031249999999993783
2011-06-30,0.004663615165385382,0.004079099051166102,-0.05620749654659407,-0.056125994291631454,-0.057009552595773005,-0.06385891377506925,-0.06951081870804554,-0.06301393897728247,-0.0004923123532530882,-0.002113321822072023,-0.00012564768967726625,-0.04451062965020958,-0.06245126939004253,-0.029182784561732955,-0.04473238496164178,-0.03878234650211443,-0.005497867232319598,0.006429423979387616,0.00031249999999993783
2011-07-31,0.01426974984956586,0.005298949041773415,-0.06492215674201807,-0.0719182725058869,-0.075593877000809,-0.05888153729626866,-0.0639634530654527,-0.045099171418937156,0.016595309362330557,0.010456455664533237,0.004521951959818971,0.04272909501071864,0.005606898428192064,-0.06837449099716186,-0.06231733832581121,-0.04124818757524207,0.003756754748162505,0.0199381650755166,0.00031249999999993783
2011-08-31,0.006780235613187635,0.0008785030308351427,-0.05005785022904907,-0.06496009368293043,-0.06658277208578844,0.042184197526288214,0.028504485018011394,0.021227663203246427,0.012336476463792101,0.011900085588536724,0.005078008096714104,0.14776176316912681,0.01822631776836725,-0.03822190944087611,-0.03650699816035774,0.012224093204840747,-0.02728149271045388,0.0051540156629976686,0.00010416666666679397
2011-09-30,0.0076605774896876255,0.0005266391643994339,-0.008498089860715319,-0.01926932012043836,-0.04270215535946764,-0.011080400460412032,-0.0390760620903533,-0.07524407095102925,-0.0019144392901847551,0.005672086351678596,-0.0023686790545197622,-0.025355866737259758,-0.06436527881068088,0.027260374089552508,0.03238831744719661,0.07323312570208951,-0.05301464757553376,-0.047898689566249875,0.00010416666666657193
2011-10-31,-0.0005847953216374657,0.0018422668655146968,0.041036980221553554,0.06870516317826425,0.05668953428631873,0.06613551043037758,0.08032205616280397,0.09371107621168195,0.00184433788270022,-0.001463123693463686,0.0008550945786425235,0.017041822589752842,0.034134571453736884,0.03564868556518519,0.02983857204047835,-0.07482304965066433,0.08491737824256984,0.051538871990800095,0.00010416666666679397
2011-11-30,-0.0050154643484074946,-0.005166374781085725,-0.015464580163509822,-0.025149398858098637,-0.028743193154257995,0.09155202535122542,0.09178048263305594,0.04489736874042083,-0.0180044182621506,-0.006158733587356857,-0.004005250838782004,0.08610549211737939,0.06521098331665764,0.06145800848917915,0.03836953417079525,0.07594421292752784,-0.02426972973535435,-0.012868924985359964,0.00010416666666634988
2011-12-31,0.010333529362345661,0.0037848780917173475,0.04135591106364633,0.027376029081758402,0.000771500421086202,0.052740632618773375,0.04459202137485696,0.04231146439220268,0.015484983690150722,0.014636793621806365,0.006436867481014463,-0.08819803044771757,-0.008915111337589265,0.017783253620289763,0.021589098299855003,0.021906019935766574,0.04552123668402719,0.019121054857835107,0.00010416666666657193
2012-01-31,0.007483785132213372,0.004472115047351677,0.012909093631164437,0.036479406799728054,0.04037544871417631,0.002887714365656935,0.026901039668588034,0.06283474506496245,0.012959680992467915,0.009244196336150479,0.006670237901644782,0.08185805236861077,0.0070091834370862305,-0.0016082445189435912,0.03160116395490076,-0.04504055050516309,0.01464808195597156,0.011389879560336658,0.00010416666666679397
2012-02-29,0.005364806866952732,0.004714098646879217,0.031745034642032266,0.03386231000143969,0.03981537521706402,0.008326039867290191,0.004764670560966522,0.01827212877798079,0.012538727902314806,0.003175905566635162,0.0026967880854800175,-0.04984104992833127,0.03161700673106571,0.013906658452795151,0.014286498585745155,-0.04160652429443068,0.021022910840091003,0.02470845249016107,0.00010416666666657193
2012-03-31,-0.00073885559477882,0.0012164393083673453,0.0235427052890953,0.025548259057193823,0.008377305118859812,0.030474586995892228,0.027171155176154427,-0.01656769284084425,0.00928759134598045,-0.0017770822824576538,0.0006520084799008785,-0.004897731558977658,-0.009462739503880102,0.010419141244306207,0.01488864061410533,0.003607307225306444,-0.009530714460812217,-0.0012138890945634362,0.00010416666666634988
2012-04-30,0.0027111403220505537,0.0006074806907920838,-0.0032174030186554736,-0.015465041170996341,0.010891730053406823,0.06639435739134414,0.07073495292088605,0.0657539767101123,0.0063130862788456366,0.005918429196291708,0.0022227715223854805,0.00457752621053098,-0.007557100462097233,0.009192525750955305,-0.01459395857255763,-0.011044673936076999,0.011366398612182804,0.017868394557363,0.00010416666666657193
2012-05-31,0.00966816878328558,0.003469210754553309,-0.04235967283322206,-0.0484177392008156,-0.059875446264188614,-0.04336861327411223,-0.04679827452186136,-0.07038519635259677,0.008754519033104424,0.01070920628150085,0.0004053916139687974,0.002258371912549517,-0.049319493585510465,-0.013670533504627214,0.017143175830974577,0.0748279330445698,-0.03220863962432852,-0.027707140348568804,0.00010416666666634988
2012-06-30,-0.0016229814168627898,0.0030250648228176136,0.03247948153062863,0.030761115984302423,0.008100176535031922,0.06411463102607495,0.049140265088493784,0.05173875191632349,-0.0015459751941252486,-0.002102494710395253,0.0006867139274462364,-0.0008125385767246973,-0.0040728745624891705,0.03338661084572414,-0.0037184533146342735,-0.071228167654932,0.04656781018140577,0.04064850345150273,0.00010416666666657193
2012-07-31,0.01048524750060964,0.005601034037053143,0.0500703854066995,0.0455018743399187,0.026076037748598013,0.022265957800471137,0.007792861241743054,0.02985331442980632,0.0327972692402434,0.01318356420546718,0.00545407176946755,0.042462240913898386,0.09402371135156895,0.0432392795784895,0.04551149329724802,0.05875919657004647,0.010223433363939272,0.03742833435624293,0.00010416666666657193
2012-08-31,0.003700128700128813,0.0035132819194514386,-0.0019610064020096907,0.0038900610937184776,0.0005432784384311606,-0.014080870131876866,-0.007032014458439817,-0.0413953213697521,-0.02027326314354827,0.0016199803867336104,0.002476599979346128,0.028185349027233464,0.035159287961167074,-0.015066102346012133,0.002396892139581608,-0.02021233880628015,0.01244613511381365,0.012335950953182184,0.00010416666666657193
2012-09-30,0.00040070524122448603,0.00017077960891476174,0.018156318124304738,0.021065197589605456,0.02143413446244624,0.0026322619337786346,0.010080809742698982,0.03477345099732099,-0.010676775405160988,0.003462544333056927,0.0021089933770863656,0.026061580386472993,-0.023468306515697535,0.0030413492492069594,0.007017526975769739,-0.037941907248420614,0.005206201655804765,0.017853819737932985,0.00010416666666634988
2012-10-31,0.002883922134102379,0.0020490053786392792,0.012924810178807977,0.030249437584109584,0.00795773059699112,-0.013323760146707553,-0.012455815162094042,-0.01243015523279789,-0.02847400428867719,0.002275379740739325,0.0009046221707196267,-0.03831914734762332,-0.047845419121864574,0.006589848178457203,-0.00689119654163739,-0.03294986308272607,0.008440643486001598,0.006205224461891756,0.00010416666666657193
2012-11-30,0.0020768431983386737,0.0009372071227740086,0.030670382895275017,0.03756794766622651,0.015571395086193984,0.00630520882496155,0.0030364271319953673,0.005921762895822802,0.02681188262112366,0.004558525097161148,0.0013034206388626846,-0.009437092050232687,0.014715868433065937,-0.020347148635189938,0.0025129372828653906,-0.009493715883992171,0.004967937968631153,0.008963029944128564,0.00010416666666679397
2012-12-31,-0.0010362694300518616,0.00017024174327562314,0.0024173950456947146,0.004337166876786869,0.01518576996312393,-0.008936572161833412,0.003882775856973719,0.021502327723361914,0.014271618859679869,0.0005416832060189947,0.001104040939031714,-0.04025504332750485,-0.02758420337371592,0.018804218726204525,0.007532812344583029,-0.007028652190980256,0.014013083235315138,0.007146104938974274,0.00010416666666657193
2013-01-31,-0.009655282476859206,-0.002808510638297901,0.07930663919675918,0.082590309075115,0.04722167681130984,0.04422183815751901,0.05139942335780634,0.0070656410309015705,0.0009727964423447144,-0.0060850491317582245,-0.0018498371845219186,-0.006805472373930033,0.02304107251205756,0.021728163913008247,0.02772376379283714,0.003419029578911603,0.0034279208400223027,-0.02850437909447312,0.00010416666666657193
2013-02-28,0.006768189509306355,0.004011265682341891,0.034631926237959076,0.03146525588387594,0.04279307061128024,0.051469141551003794,0.05802716028614041,0.03599653677710579,-0.03123806879316926,0.005897425646586463,0.0032138197983990757,-0.03262555957575064,-0.028750900576400285,0.013643737017837942,0.024739640169295862,0.01778779382059592,0.00932662967700204,0.0026412426204198702,0.00010416666666634988
2013-03-31,0.00048019207683069887,0.0011900714042842875,0.031166497972106466,0.0190947794499301,0.00692702961021241,0.05206005022196769,0.06320827843248722,0.010343399757906324,0.018415678406362712,0.004882913776176112,0.0009283150987937638,0.032841031773802154,0.029932820302638108,0.04622488492457699,0.04657495811963752,0.03226705965242971,0.008724383637099598,-0.009364327983101606,0.00010416666666634988
2013-04-30,0.007359411247100267,0.0026320258108336603,0.025046041532637897,0.02892809869756041,0.00931817113857436,0.032009049429722713,0.012610582522628144,0.008055281797610503,0.005839929639402275,0.01041607443460868,0.0034189416242902393,-0.08817519306612354,-0.0511431344768416,0.03180176675330282,0.003381478447452846,0.009361016083393014,0.021180723136275503,0.03566863764254058,0.00010416666666679397
2013-05-31,-0.006670372429127158,-0.001100855279871471,0.00945065778840859,0.018460909788462043,0.024288501021914266,0.024172513661149697,0.03482407001612153,-0.0025394486855100373,-0.001294113532230412,-0.015038283771460548,-0.003844433351269716,-0.045371682580821915,0.0018305823155531087,-0.041705014710798904,0.03862896013201289,-0.0017147658391307719,-0.025812513674084436,-0.0492524429118848,0.00010416666666657193
2013-06-30,-0.015588776081221667,-0.005256018989487687,-0.03301245488689197,-0.03971285943499825,-0.03315303849825013,-0.05168082907344507,-0.04951104894829539,-0.08936875453798998,-0.043321426069902746,-0.014016674956331854,-0.005090220083451835,-0.11860866973472206,-0.03699183150504026,-0.023884073967976316,-0.031505373851049345,-0.01774260844480735,-0.016886603719448723,-0.04440807725979279,0.00010416666666657193
2013-07-31,0.0042228357966542784,0.0034941196522924045,0.020830286356072536,0.033963418138805546,0.04092780984975253,0.03547553264193781,0.046780730758313016,-0.005457841186638168,0.01852326390159975,0.003653960724645522,0.003372528424462118,0.056704861441122745,0.014933816419460788,0.02443057673036031,0.028873765726710188,-0.022357292309908017,0.028540355484576008,0.0015584508682948695,0.00010416666666657193
2013-08-31,-0.0016173378618793421,0.0010191082802548657,-0.006037636901085053,-0.013754623140236788,0.008906070760809737,-0.04243195310788239,-0.04059121255432396,-0.03811333235695502,0.010962153613916614,-0.0040660915573381695,-0.00162425050711279,0.05244694888934309,0.028543150582130528,-0.03373975847553501,-0.007609486052081116,-0.014207222548826337,-0.012720750218501609,-0.02430969977237396,0.00010416666666657193
2013-09-30,0.0045358820670662325,0.002460337660133982,0.034989502197467326,0.03681161158345181,0.030211196361585202,0.016510657294920073,0.034858460361967936,0.031215803295487454,-0.014647326507394753,0.0076897002749516385,0.0039039834624090552,-0.07320245075434273,-0.05949769880127653,0.03852733408166942,0.0005226711330552636,-0.037789087946580424,0.007813518236446049,0.031514771025497046,0.00010416666666657193
2013-10-31,0.004192872117400492,0.0020311442112388445,0.028616925253868386,0.027057331633260517,0.03831096318375948,0.04151088921217583,0.03299470620884182,0.05124538660060329,-0.018220522441910858,0.008743942233084612,0.0037624272069298748,-0.008882251862447177,-0.005854420295570928,0.03192196874921294,0.02217573315379906,0.0060568399120342065,0.025182211400237353,0.02534976829303215,0.00010416666666679397
