,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged,cash
2018-03-31,135.48,120.02377885663331,216.01472901412268,202.8668201457,384.5566241774424,219.49144787752851,283.18074294508904,318.52159526892945,254.84529071744305,171.9474098769958,107.13780715220528,240.20616272670716,55.31925545850853,115.51911804381032,231.4278722273316,72.0396761426607,171.75893488382624,133.42637491873538,176.4164458878495,159.71397809450733,101.41258899985495
2018-04-30,134.79,119.72654314871691,223.11700535484883,210.42887928768909,398.90479039160647,231.0710845949906,297.37813461326937,330.03922025342973,256.42298537912274,170.85072549204165,106.83475097162672,246.44448103412412,59.25991385898902,122.06235669032051,239.32955851356363,74.3522438926353,172.24250538640925,138.87269524215645,172.44934944430602,162.0472789868119,101.34920613173004
2018-05-31,135.8,120.0634102843555,215.48242397005015,203.09052109285483,399.1201509364503,232.3123865991588,304.9124999214249,318.0158676088391,252.65555933356,171.03659412571892,106.79254950480302,243.6130163738828,60.87497375311477,120.08087388927888,248.54111475144808,71.60676916927694,171.98856349659573,139.00889006694328,170.71087829225826,160.8108416155422,101.28586287789771
2018-06-30,135.63,119.88506885960564,218.92746151334896,205.9080492394378,400.3902259445032,234.00016372404315,306.2888907573061,307.41566797951543,252.90037402244133,170.87470214947763,106.68183271537146,235.12718763961544,59.77478284798016,122.1373976246214,248.01508290802067,72.24600272889977,171.81804482643977,139.33620630366832,167.82475350627988,158.62668544398375,101.22255921359901
2018-07-31,134.76,119.6571881502031,231.02823273029452,217.3636086494897,407.71984722286135,236.44562875307747,303.7452316482468,308.1452670413857,257.4838490309418,170.48077161243023,106.50736688664388,229.4263451540477,58.21199004443013,124.1798522266271,248.84309867086952,72.14960434350698,174.32484078174758,141.4091401000968,171.77614774199017,162.4044447719172,101.15929511409053
2018-08-31,135.68,119.8751610026751,227.6836780985411,212.11223942729197,410.64470111821817,238.35493409383383,309.037865493762,298.6131239977749,251.4858891533492,170.55359327860975,106.53804983546394,220.0945112022961,57.49438125086974,118.58750519378869,249.68889983108545,72.77063356827601,175.17745202379305,139.602472812843,167.4166512326419,155.51049434189653,101.0960705546442
2018-09-30,134.59,119.637372436342,229.1141816578408,214.6277397584282,400.9396714371175,247.45538538886117,314.5061478007411,306.75500148636803,248.3100986059163,169.45284673268503,106.24462551907804,221.6040828829283,60.2519812981386,118.78494704192735,251.5347196573347,73.22013751229416,175.71302568051706,142.23699133124254,170.450693052786,160.81980545351638,101.03288551054754
2018-10-31,134.87,119.71663529178636,225.4618186135054,205.60585322779025,372.22401178040593,237.5007396354655,293.48793255456235,290.23930108633,249.45256715402925,168.6303086746952,106.12219161650484,231.6651114907219,58.21342125087666,117.0968026285563,240.4044758595989,72.12864145320451,171.81866727136662,142.73015241436536,165.75559398943355,160.4913436682338,100.96973995710346
2018-11-30,135.31,119.68691172099474,223.45682414642525,201.49222618184112,350.9566978049791,236.09966822911335,290.2656378295999,297.0117141872409,245.52193131587896,168.99362438881818,106.1908062366817,230.3449603769409,52.00611733294328,118.26798675743986,244.3154206802893,69.06317868167685,170.721215131348,140.8732272781909,164.54880307854015,158.2612799862303,100.90663386963026
2018-12-31,136.5,119.92470028732784,208.3867192965348,187.58522816865877,327.5072477106438,212.50142881496276,256.60802957288365,281.8402365061099,245.85515130907848,170.7818669097358,106.59186911786026,238.7431408505957,49.30861357248295,113.19436503545435,228.10901713145716,67.97964249980689,166.74620446270956,136.2271692489068,167.29313497684382,159.28801417241186,100.84356722346175
2019-01-31,137.27,120.07331814128604,222.892932701888,200.97115435155104,357.49850444066084,234.376011411615,289.5786988902717,313.6693025840366,257.4974498469908,172.098007064197,106.82422542931305,248.1070185466506,53.34521862595116,124.03078525498294,248.82151429714705,67.6934839689314,174.55684253154743,144.4019374143391,174.8590827182338,168.58666036714186,100.78053999394709
2019-02-28,137.32,120.15258099673038,232.43478150266463,209.6152617027763,366.2813492246101,244.55488632154496,304.2845417944476,318.4101172018087,260.4012240734444,171.84635123821604,106.76017849731004,248.33295504038503,55.24409323422781,128.26706546096685,259.4189634178441,68.75675981655202,176.22234363651765,147.1855473939155,175.10034923396137,170.45085464777074,100.71755215645088
