,P0_AP5_benchmark,P1_swiss_bonds->CLO,P2_swiss_bonds->diversified,P3_draft_recommended,O1_opt_max_sharpe,O2_opt_min_variance,O3_opt_min_cvar,P4_dynamic_swiss_replace,P5_dynamic_broad_replace
2022-08-19,112.41053405580872,113.35770503718439,115.45862365054187,118.54560279850794,124.5983423190834,113.92735109372968,114.88969076137585,115.4887508424927,119.90545696580286
2022-08-22,111.4024024029344,112.47388413542829,114.53616571123268,117.4949325158897,123.6143880344216,112.97882696301549,113.9662648014955,114.57540458258504,118.89504167634988
2022-08-23,110.86015781754244,112.06277587309788,114.1339929728954,117.09611385221208,123.27169072440046,112.47804299366813,113.50683904247971,114.18608256283711,118.55475765730984
2022-08-24,110.81751586478576,112.14868968541438,114.25737341344026,117.20124164619527,123.53194288533915,112.52987710786124,113.59572913977448,114.28871006004388,118.74780554263653
2022-08-25,111.19661806310927,112.3965167838502,114.5118393480161,117.54059132338412,123.7380267834593,112.85446553383305,113.8751703282806,114.5420879574107,119.01631145547088
2022-08-26,110.85684154381494,112.09710530881682,114.17416687465523,117.07905761454673,123.354489671664,112.52808902426675,113.57982174822025,114.21352291517137,118.56688889605671
2022-08-29,109.39052190556791,110.75818572299727,112.84333549853565,115.72061880890266,122.0598894218039,111.13549491917816,112.21543404024901,112.88920626638424,117.27171337005926
2022-08-30,109.89588651503385,110.98291877673292,113.07623954830773,115.97917001883447,122.31567666043368,111.54423363421766,112.5276912842288,113.12498569141043,117.3880066614511
2022-08-31,109.73283874484659,110.79377984936522,112.87486824489466,115.76423034913657,122.11432211720935,111.38199554519358,112.35870078717099,112.92578690164929,117.14072427409808
2022-09-01,108.29129222985465,109.503931373084,111.52041150181411,114.44663929859506,120.98089302040142,110.06677158426031,111.06980689280425,111.58153295857691,115.89731113647746
2022-09-02,109.29998379539876,110.54889284157217,112.62763456840916,115.47538588707924,122.13638799206761,111.11138792383227,112.1313038117215,112.65962900343263,116.99545195806367
2022-09-05,108.53274026298611,109.92077354492515,111.97929957932647,114.77457370889542,121.45673732051516,110.38126249902298,111.44125082989468,112.02297995213999,116.35222742417643
2022-09-06,108.65443540638819,110.03314691223012,112.08614059809517,114.87281660068224,121.67402272781769,110.50443439796011,111.5497090863794,112.12520114352336,116.46209393045356
2022-09-07,108.43061006545713,109.80104145366735,111.8355806183698,114.73617593229531,121.38542981041726,110.27332579252935,111.313801558491,111.88336031542758,116.30291823065811
2022-09-08,108.71932815739893,110.03836574351247,112.04914626998375,114.9811105389362,121.57598886920253,110.47818683903526,111.52834968623739,112.10145109765391,116.52114738509904
2022-09-09,108.82913202106634,110.30718691001033,112.27506757201577,115.27953236072553,121.9072449877628,110.70757129710984,111.79779152377553,112.31332657796807,116.919643971231
2022-09-12,109.3992345780777,110.83007276380596,112.78537166692546,115.85003888346421,122.36277907087157,111.27251893295053,112.33784508751737,112.81871997550343,117.46378877027482
2022-09-13,108.42412071615028,110.0136366884091,111.93132979048248,114.79160372859849,121.44468685042744,110.32242788853,111.44999358186224,111.98195954579965,116.47692367526628
2022-09-14,107.40223151999359,109.1447630279527,111.04578529982913,113.9087622025136,120.62072744941305,109.3780116215165,110.55864230789257,111.10257949685096,115.66957256106845
2022-09-15,107.27356230419427,108.96600012785993,110.75929628721161,113.6175350434782,120.25644206211807,109.24226296169401,110.40433099250329,110.82679955281105,115.30064390790378
2022-09-16,106.4207460336377,107.99235181690375,109.80509394756739,112.65603720410348,119.3112154442561,108.40015300770753,109.4939660168618,109.88558622648878,114.24111485354005
2022-09-19,106.32911492196821,108.06766678554357,109.87146222490554,112.72501620013537,119.4657856823244,108.38912196963079,109.53741144587863,109.9389705014572,114.41536306938565
2022-09-20,105.47426965398321,107.47875289129057,109.24443369084538,111.91517596010428,118.86417119516382,107.63328714576272,108.87958633527421,109.3152233993707,113.7506090001788
2022-09-21,105.63546690488008,107.45789110555155,109.24889025989486,111.88417165312343,118.8287706599964,107.69669480434467,108.88020956761623,109.3244092918518,113.60865505249048
2022-09-22,104.63875344563158,106.65493385156768,108.51228089258515,111.0102111505037,118.14452421395939,106.78981228689449,108.04144594812048,108.572431605259,112.84346182013876
2022-09-23,103.44490795480617,105.40232588707094,107.15472535778812,109.56066272223208,116.76730022248417,105.62799207598073,106.82889014021981,107.34710806054812,111.56993640866402
2022-09-26,103.41486724229031,105.35130140604308,107.07502325242042,109.48097622373282,117.03990340669996,105.67837830535782,106.79708751891673,107.3026776796708,111.52375822223068
2022-09-27,103.09317620543897,105.12965881117036,106.79945556419486,109.24802082759284,117.08628178812073,105.47747259690735,106.56981448466276,106.95299924068442,111.16032410736673
2022-09-28,102.92042086589859,104.99015097232613,106.64808662708707,109.0892971559618,116.56390063942477,105.21524622801934,106.30998979290898,106.78781509059993,110.98864193116643
2022-09-29,102.5450748829235,104.45878223050799,106.06246530036778,108.45974880205549,115.98458868942959,104.80281421297704,105.78247546246044,106.40223423333764,110.58789306608392
2022-09-30,103.42001243127037,105.17724192042708,106.81179852625571,109.14558858573027,116.65425870136701,105.55148101651903,106.43027099091584,107.3187622461292,111.54047552453483
2022-10-03,104.56642934938436,105.81881010881192,107.57699308798267,110.15482191077939,117.2909247166084,106.39629880915496,107.09322218815147,108.50869941477221,112.77722252810503
2022-10-04,106.29370001857883,107.43848357793966,109.19302030782845,111.99033184415438,118.99821963212749,108.14077984847175,108.71939483320257,110.28350344123328,114.62184392450459
2022-10-05,105.36195411427802,106.82711021562817,108.49517860356829,111.21147263474566,118.59309898644513,107.42590900080009,108.05329775057346,109.30401990334482,113.60382939192948
2022-10-06,104.93585028240508,106.65565241692327,108.24415206939415,110.77490055778183,118.40309012775887,107.05073308022261,107.7082771061423,108.86151103767618,113.14391308030353
2022-10-07,103.68494916949153,105.75555607901896,107.27775773687608,109.63772807158104,117.48848674228908,105.92279743998121,106.6691440635096,107.56599428177861,111.79743319199278
2022-10-10,103.26453349807284,105.21336399962581,106.70809399376165,109.10663229212932,116.89073024678784,105.42728961144957,106.15455900269303,107.13704442182062,111.35160927123073
2022-10-11,102.76008454620795,104.84352063252369,106.35703397027055,108.65810722386837,116.55189619075055,104.97948172546047,105.7641245285851,106.61308418787678,110.80703745147747
2022-10-12,102.5818283285305,104.62176123928259,106.1133189549909,108.39842607365237,116.30375589317985,104.80612368923872,105.5641423546879,106.42726698557874,110.61391055855422
2022-10-13,102.5021437186356,104.36672102439076,105.8272010340715,108.34439416513177,115.94926758587386,104.67091379879353,105.35107162772239,106.35565361066467,110.53948005148678
2022-10-14,103.76386560494899,105.53809528169809,107.01494509739362,109.54010924247606,117.35497572772108,105.95952569518036,106.61177054495387,107.63889624686811,111.87320297988974
2022-10-17,104.15538509238517,105.89565115476312,107.39005881549986,109.98108163976934,117.60137544833373,106.31633250234862,106.95732414097459,108.0587920279382,112.30961665174975
2022-10-18,104.96844754522301,106.73039332806637,108.2052783489735,110.82254385223345,118.34750516545311,107.10634037833388,107.76748683992989,108.89421834571822,113.17790703080932
2022-10-19,104.43114784663085,106.24483349426237,107.6827940822958,110.37568636313917,118.11928671474878,106.66456222939654,107.31673226188683,108.32684108441126,112.58821024151125
2022-10-20,104.66370439683297,106.4382385139879,107.89344922778685,110.56343068278154,118.40169934908724,106.89322523335873,107.52909729012895,108.56570237359587,112.8364678734708
2022-10-21,104.0002841617892,105.94455135302665,107.37711808806132,110.0637592491849,117.90151544060137,106.3552022486532,107.02919350714313,107.87435065335937,112.11791970895666
2022-10-24,105.22287635786185,106.96035859011475,108.43290350769004,111.20689881611628,119.02049454798558,107.48245496863554,108.09134319741058,109.13300098757412,113.42608292160583
2022-10-25,106.12419637543806,107.78176094139036,109.2743314656454,112.11053336368255,119.71843518049556,108.31296132549441,108.90077779263613,110.07132119072358,114.40131483318467
