,WF_max_sharpe,WF_min_variance,WF_min_cvar,P0_AP5_benchmark_OOS,IS_max_sharpe_lookahead,IS_min_variance_lookahead,IS_min_cvar_lookahead
2021-12-24,102.06956556982318,101.90974416877859,102.02394505219988,101.94419998374894,102.36410947121777,102.25347410608299,102.40015707922446
2021-12-27,102.4967665802277,102.33160803523549,102.42776863544788,102.33457729327667,102.74198463735382,102.59715910760934,102.74120461831625
2021-12-28,103.08922217946271,102.80239993444337,102.91286432824674,102.81792950873718,103.3651865732997,103.11015186868148,103.26606908735265
2021-12-29,102.4837000126621,102.32935969777668,102.50539948935722,102.42673104824726,102.80634901947639,102.73692791426907,102.92814349089309
2021-12-30,102.74468711748786,102.52994564779571,102.61708333442918,102.51055228337887,103.0264582832705,102.8244238899645,102.97236545779289
2021-12-31,102.71164241499322,102.53402932190295,102.62116700853639,102.5104899251464,102.99048127326145,102.82173061794948,102.97294111644668
2022-01-03,102.65283276900527,102.24992010951223,102.42970159377893,102.33346190967201,103.0114766181888,102.68847299659942,102.89628848441383
2022-01-04,102.61789512124165,102.33487367008189,102.46742698879858,102.34181601936858,102.96862014202925,102.71836733647768,102.91468141195786
2022-01-05,102.4989708129425,102.19563993084617,102.33250652065477,102.19240340096714,102.88724163992644,102.61467287485453,102.82557861910979
2022-01-06,101.66709198829219,101.35075283538175,101.5054453239332,101.35867677606262,102.11760829822252,101.84746199301517,102.07670490023932
2022-01-07,101.7130232070816,101.36665721957019,101.52750686239551,101.39165377791302,102.15506166099205,101.8647542541522,102.08990941249596
2022-01-10,100.90845357969063,100.50166824198034,100.69728812110337,100.54687206117417,101.41352444532106,101.080202722171,101.34235672048237
2022-01-11,101.3889031416458,100.89362225730729,101.08879994736577,100.94243418826305,101.87322750133458,101.45032047590222,101.7089565153686
2022-01-12,101.46037707210445,101.15961060685154,101.30989998198119,101.16638297467837,101.8936298189389,101.6361394977864,101.85958743959529
2022-01-13,100.99520243656745,100.98362520644906,101.03158863870331,100.84516837451629,101.40460575807546,101.34920223047214,101.53138363326659
2022-01-14,100.51152708353284,100.29298633939325,100.41268712658193,100.26016922148557,100.94699583237062,100.75054351146002,100.95864026995764
2022-01-17,100.83772721304287,100.56561022259281,100.65691905194211,100.47286839391631,101.30360931170064,101.02120703728141,101.23332983929714
2022-01-18,100.26853974011433,99.9365160127288,100.06341575394362,99.89909882564135,100.73936184129386,100.43048331552902,100.65316605672004
2022-01-19,100.20728911059238,99.76917506122088,99.91548689131258,99.76123890525167,100.69482243930526,100.3002918950745,100.52928167020443
2022-01-20,100.27853500595181,99.99854867791058,100.02978664522746,99.84062816822316,100.69669714112189,100.36450255017857,100.53656864228742
2022-01-21,98.95953948103875,98.97499506359455,98.96113568891299,98.75687226119607,99.34693701841725,99.27081873137983,99.42169888779621
2022-01-24,97.09916664581606,97.19815375315716,97.17304915235857,96.98412284533293,97.45751165423229,97.46597326404293,97.59650841083501
2022-01-25,97.4840253577276,97.4313191906626,97.429192892411,97.24015375519822,97.84280527238181,97.71048207982986,97.85796918081152
2022-01-26,98.52235094768929,98.42905254027434,98.42014643182753,98.20821695698618,98.9213741317463,98.73509230141183,98.89565177026421
2022-01-27,98.7128124039038,98.7361500377069,98.7015904929495,98.45722775004293,99.12745602551529,99.02312266927599,99.19042789861219
2022-01-28,97.97252351519585,97.83816528968273,97.8544219007518,97.6169244208049,98.43170799417894,98.20796832882664,98.40715290136444
2022-01-31,99.05729509063845,98.8539604218721,98.9212665597483,98.70347619402072,99.53602763151031,99.27601947467932,99.49787459440986
2022-02-01,99.402957424323,99.09648029369143,99.1410412347864,98.89847990299427,99.89614208886469,99.525217768315,99.75467839505572
2022-02-02,99.56869287756166,99.27657717418938,99.36777255173513,99.15867708676362,100.06641536098806,99.76933897907824,100.01019085559663
2022-02-03,98.78554390594002,98.36455986984235,98.47877438970049,98.24699730634404,99.32382846544279,98.95970976940993,99.23468440868133
2022-02-04,98.71921882638684,97.73203966255181,98.01746961262741,97.83307731033563,99.26656894078906,98.58039409646288,98.94809266232353
2022-02-07,98.88706297961667,98.03439900514459,98.22915951174767,97.99509589420708,99.44245293039948,98.7680698914978,99.11121940349035
2022-02-08,98.65454623809362,97.55657445546814,97.78797255792371,97.56134987205353,99.2281076871782,98.39507088969866,98.76019896680786
2022-02-09,99.74315615292807,98.71626908699419,98.85559139858508,98.60891598383714,100.30120771544189,99.41236056034164,99.72934795295897
2022-02-10,99.68303288859617,98.45144673793831,98.61238927414784,98.36927225341095,100.26655552747465,99.22860108172195,99.56375138678125
