,ICVT
2019-06-12,47.18135070800781
2019-06-13,47.337013244628906
2019-06-14,47.05958938598633
2019-06-17,47.07894515991211
2019-06-18,47.61924743652344
2019-06-19,47.865203857421875
2019-06-20,47.97407913208008
2019-06-21,47.788597106933594
2019-06-24,47.67570114135742
2019-06-25,47.280555725097656
2019-06-26,47.4240837097168
2019-06-27,47.901512145996094
2019-06-28,48.006343841552734
2019-07-01,48.40283203125
2019-07-02,48.410884857177734
2019-07-03,48.60470962524414
2019-07-05,48.62246322631836
2019-07-08,48.54010772705078
2019-07-09,48.806575775146484
2019-07-10,49.02460861206055
2019-07-11,49.05690383911133
2019-07-12,49.13767623901367
2019-07-15,49.17803955078125
2019-07-16,49.000389099121094
2019-07-17,49.060943603515625
2019-07-18,49.16190719604492
2019-07-19,48.83079147338867
2019-07-22,49.06499099731445
2019-07-23,49.16997146606445
2019-07-24,49.597965240478516
2019-07-25,49.22649383544922
2019-07-26,49.468753814697266
2019-07-29,49.242652893066406
2019-07-30,49.33957290649414
2019-07-31,48.976165771484375
2019-08-01,48.70450973510742
2019-08-02,48.28409957885742
2019-08-05,47.16835403442383
2019-08-06,47.604949951171875
2019-08-07,47.73429870605469
2019-08-08,48.43769073486328
2019-08-09,48.275997161865234
2019-08-12,47.758575439453125
2019-08-13,48.267913818359375
2019-08-14,47.34620666503906
2019-08-15,47.3057975769043
2019-08-16,47.66960144042969
2019-08-19,47.878204345703125
2019-08-20,47.834556579589844
2019-08-21,48.13047790527344
2019-08-22,47.97686004638672
2019-08-23,47.59684371948242
2019-08-26,47.750465393066406
2019-08-27,47.54026412963867
2019-08-28,47.637290954589844
2019-08-29,47.9364128112793
2019-08-30,47.758575439453125
2019-09-03,47.492191314697266
2019-09-04,47.75935745239258
2019-09-05,47.99415969848633
2019-09-06,47.95368194580078
2019-09-09,47.62982940673828
2019-09-10,47.62982940673828
2019-09-11,48.083213806152344
2019-09-12,48.115604400634766
2019-09-13,48.083213806152344
2019-09-16,48.220848083496094
2019-09-17,48.390872955322266
2019-09-18,48.22892761230469
2019-09-19,48.160118103027344
2019-09-20,48.038700103759766
2019-09-23,48.05891799926758
2019-09-24,47.56910705566406
2019-09-25,47.585304260253906
2019-09-26,47.51647186279297
2019-09-27,47.022605895996094
2019-09-30,47.07118225097656
2019-10-01,46.80042266845703
2019-10-02,46.346435546875
2019-10-03,46.82474899291992
2019-10-04,47.23008346557617
2019-10-07,47.23817825317383
2019-10-08,46.654518127441406
2019-10-09,46.8409423828125
2019-10-10,47.011192321777344
2019-10-11,47.42463684082031
2019-10-14,47.55030059814453
2019-10-15,47.862403869628906
2019-10-16,47.586795806884766
2019-10-17,47.67192077636719
2019-10-18,47.303043365478516
2019-10-21,47.530029296875
2019-10-22,47.307098388671875
2019-10-23,47.201698303222656
2019-10-24,47.619197845458984
2019-10-25,47.93537139892578
2019-10-28,48.2191162109375
2019-10-29,47.95969772338867
2019-10-30,48.17047882080078
