,FLOT
2021-01-15,41.38579177856445
2021-01-19,41.3939323425293
2021-01-20,41.41023635864258
2021-01-21,41.3939323425293
2021-01-22,41.38579177856445
2021-01-25,41.3939323425293
2021-01-26,41.3939323425293
2021-01-27,41.40207290649414
2021-01-28,41.38579177856445
2021-01-29,41.41837692260742
2021-02-01,41.41999816894531
2021-02-02,41.428157806396484
2021-02-03,41.41999816894531
2021-02-04,41.428157806396484
2021-02-05,41.428157806396484
2021-02-08,41.41999816894531
2021-02-09,41.41999816894531
2021-02-10,41.428157806396484
2021-02-11,41.428157806396484
2021-02-12,41.41184997558594
2021-02-16,41.41999816894531
2021-02-17,41.395572662353516
2021-02-18,41.41999816894531
2021-02-19,41.428157806396484
2021-02-22,41.428157806396484
2021-02-23,41.44443893432617
2021-02-24,41.436309814453125
2021-02-25,41.436309814453125
2021-02-26,41.44443893432617
2021-03-01,41.428958892822266
2021-03-02,41.437110900878906
2021-03-03,41.41266632080078
2021-03-04,41.41266632080078
2021-03-05,41.42081069946289
2021-03-08,41.396358489990234
2021-03-09,41.404502868652344
2021-03-10,41.42081069946289
2021-03-11,41.41266632080078
2021-03-12,41.396358489990234
2021-03-15,41.404502868652344
2021-03-16,41.404502868652344
2021-03-17,41.41266632080078
2021-03-18,41.404502868652344
2021-03-19,41.41266632080078
2021-03-22,41.404502868652344
2021-03-23,41.404502868652344
2021-03-24,41.428958892822266
2021-03-25,41.404502868652344
2021-03-26,41.428958892822266
2021-03-29,41.41266632080078
2021-03-30,41.41266632080078
2021-03-31,41.404502868652344
2021-04-01,41.389827728271484
2021-04-05,41.389827728271484
2021-04-06,41.389827728271484
2021-04-07,41.397979736328125
2021-04-08,41.397979736328125
2021-04-09,41.389827728271484
2021-04-12,41.397979736328125
2021-04-13,41.397979736328125
2021-04-14,41.397979736328125
2021-04-15,41.389827728271484
2021-04-16,41.406131744384766
2021-04-19,41.406131744384766
2021-04-20,41.397979736328125
2021-04-21,41.41429138183594
2021-04-22,41.41429138183594
2021-04-23,41.406131744384766
2021-04-26,41.397979736328125
2021-04-27,41.406131744384766
2021-04-28,41.406131744384766
2021-04-29,41.41429138183594
2021-04-30,41.397979736328125
2021-05-03,41.41429901123047
2021-05-04,41.41429901123047
2021-05-05,41.39799118041992
2021-05-06,41.40614318847656
2021-05-07,41.40614318847656
2021-05-10,41.422454833984375
2021-05-11,41.422454833984375
2021-05-12,41.43061447143555
2021-05-13,41.438785552978516
2021-05-14,41.438785552978516
2021-05-17,41.438785552978516
2021-05-18,41.46326446533203
2021-05-19,41.45509719848633
2021-05-20,41.47141647338867
2021-05-21,41.45509719848633
2021-05-24,41.46326446533203
2021-05-25,41.45509719848633
2021-05-26,41.46326446533203
2021-05-27,41.45509719848633
2021-05-28,41.45509719848633
2021-06-01,41.47060012817383
2021-06-02,41.454280853271484
2021-06-03,41.47060012817383
2021-06-04,41.46245193481445
2021-06-07,41.46245193481445
2021-06-08,41.47060012817383
2021-06-09,41.46245193481445
2021-06-10,41.4787712097168
2021-06-11,41.48693084716797
2021-06-14,41.46245193481445
2021-06-15,41.4787712097168
2021-06-16,41.4787712097168
2021-06-17,41.48693084716797
2021-06-18,41.48693084716797
2021-06-21,41.4787712097168
2021-06-22,41.48693084716797
2021-06-23,41.48693084716797
2021-06-24,41.48693084716797
2021-06-25,41.48693084716797
2021-06-28,41.48693084716797
2021-06-29,41.48693084716797
2021-06-30,41.48693084716797
2021-07-01,41.4844856262207
2021-07-02,41.49265670776367
2021-07-06,41.476322174072266
2021-07-07,41.476322174072266
2021-07-08,41.476322174072266
2021-07-09,41.476322174072266
2021-07-12,41.4844856262207
2021-07-13,41.4844856262207
2021-07-14,41.4844856262207
2021-07-15,41.49265670776367
2021-07-16,41.476322174072266
2021-07-19,41.4681510925293
2021-07-20,41.476322174072266
2021-07-21,41.476322174072266
2021-07-22,41.49265670776367
2021-07-23,41.476322174072266
2021-07-26,41.4681510925293
2021-07-27,41.4681510925293
2021-07-28,41.4681510925293
2021-07-29,41.4844856262207
2021-07-30,41.4844856262207
2021-08-02,41.47385787963867
2021-08-03,41.482032775878906
2021-08-04,41.498374938964844
2021-08-05,41.498374938964844
2021-08-06,41.482032775878906
2021-08-09,41.482032775878906
2021-08-10,41.47385787963867
2021-08-11,41.47385787963867
2021-08-12,41.465702056884766
2021-08-13,41.47385787963867
2021-08-16,41.47385787963867
2021-08-17,41.465702056884766
2021-08-18,41.465702056884766
2021-08-19,41.47385787963867
2021-08-20,41.465702056884766
