,DBMF
2022-02-18,20.9158992767334
2022-02-22,21.06816291809082
2022-02-23,21.19638442993164
2022-02-24,21.50891876220703
2022-02-25,21.476863861083984
2022-02-28,21.400733947753906
2022-03-01,21.84549903869629
2022-03-02,22.039430618286133
2022-03-03,21.989744186401367
2022-03-04,21.861528396606445
2022-03-07,22.527467727661133
2022-03-08,22.783103942871094
2022-03-09,22.286252975463867
2022-03-10,22.466564178466797
2022-03-11,22.598791122436523
2022-03-14,22.494611740112305
2022-03-15,22.2622127532959
2022-03-16,21.973716735839844
2022-03-17,22.1444091796875
2022-03-18,22.150020599365234
2022-03-21,22.821577072143555
2022-03-22,23.336057662963867
2022-03-23,23.560441970825195
2022-03-24,23.27996063232422
2022-03-25,23.55803680419922
2022-03-28,23.421001434326172
2022-03-29,23.28877830505371
2022-03-30,23.17578125
2022-03-31,22.913732528686523
2022-04-01,23.119686126708984
2022-04-04,23.389747619628906
2022-04-05,23.656604766845703
2022-04-06,23.632564544677734
2022-04-07,23.729530334472656
2022-04-08,23.921058654785156
2022-04-11,24.073320388793945
2022-04-12,24.20795249938965
2022-04-13,24.401887893676758
2022-04-14,24.602231979370117
2022-04-18,24.858671188354492
2022-04-19,25.108699798583984
2022-04-20,24.68236541748047
2022-04-21,25.01894187927246
2022-04-22,24.954833984375
2022-04-25,24.67435646057129
2022-04-26,24.69038200378418
2022-04-27,24.922779083251953
2022-04-28,25.415624618530273
2022-04-29,25.339494705200195
2022-05-02,25.892444610595703
2022-05-03,25.42764663696289
2022-05-04,25.1519718170166
2022-05-05,25.579906463623047
2022-05-06,25.956558227539062
2022-05-09,25.619976043701172
2022-05-10,25.387577056884766
2022-05-11,25.529420852661133
2022-05-12,25.418031692504883
2022-05-13,25.74819564819336
2022-05-16,25.90847396850586
2022-05-17,25.563879013061523
2022-05-18,25.563879013061523
2022-05-19,25.339494705200195
2022-05-20,25.29942512512207
2022-05-23,25.19525146484375
2022-05-24,24.970861434936523
2022-05-25,25.034975051879883
2022-05-26,25.05901336669922
2022-05-27,24.946819305419922
2022-05-31,25.091066360473633
2022-06-01,25.52381134033203
2022-06-02,25.435659408569336
2022-06-03,25.756208419799805
2022-06-06,25.94854164123535
2022-06-07,25.8684024810791
2022-06-08,26.204980850219727
2022-06-09,26.3011474609375
2022-06-10,26.35724449157715
2022-06-13,26.709848403930664
2022-06-14,26.693822860717773
2022-06-15,26.212993621826172
2022-06-16,26.148889541625977
2022-06-17,26.164915084838867
2022-06-21,26.421354293823242
2022-06-22,25.9805965423584
2022-06-23,25.700115203857422
2022-06-24,25.644018173217773
2022-06-27,25.820323944091797
2022-06-28,26.052715301513672
2022-06-29,26.17292594909668
2022-06-30,25.964569091796875
2022-07-01,25.772235870361328
2022-07-05,25.708127975463867
2022-07-06,25.732168197631836
2022-07-07,25.812307357788086
2022-07-08,25.892444610595703
2022-07-11,26.068748474121094
2022-07-12,25.80429458618164
2022-07-13,25.956558227539062
2022-07-14,26.148889541625977
2022-07-15,25.94854164123535
2022-07-18,26.11682891845703
2022-07-19,25.892444610595703
2022-07-20,26.012651443481445
2022-07-21,25.636005401611328
2022-07-22,25.379560470581055
2022-07-25,25.499771118164062
2022-07-26,25.732168197631836
2022-07-27,25.459699630737305
2022-07-28,25.179218292236328
2022-07-29,25.034975051879883
2022-08-01,24.738466262817383
2022-08-02,25.034975051879883
2022-08-03,25.179218292236328
2022-08-04,24.79456329345703
2022-08-05,25.08305549621582
2022-08-08,25.219287872314453
2022-08-09,25.219287872314453
2022-08-10,24.818601608276367
2022-08-11,24.986892700195312
2022-08-12,24.858671188354492
2022-08-15,24.96285057067871
2022-08-16,24.986892700195312
2022-08-17,25.05901336669922
2022-08-18,25.2753849029541
2022-08-19,25.50778579711914
2022-08-22,25.563879013061523
2022-08-23,25.587923049926758
2022-08-24,25.563879013061523
2022-08-25,25.347509384155273
2022-08-26,25.467716217041016
2022-08-29,25.579906463623047
2022-08-30,25.692100524902344
2022-08-31,25.71613883972168
2022-09-01,26.124841690063477
2022-09-02,26.100801467895508
2022-09-06,26.437379837036133
2022-09-07,26.25306510925293
2022-09-08,26.35724449157715
2022-09-09,26.26909065246582
2022-09-12,26.020668029785156
2022-09-13,26.421354293823242
2022-09-14,26.38929557800293
2022-09-15,26.453407287597656
2022-09-16,26.37327003479004
2022-09-19,26.437379837036133
2022-09-20,26.6216983795166
2022-09-21,26.76594352722168
2022-09-22,26.82204246520996
2022-09-23,27.118553161621094
2022-09-26,27.503206253051758
2022-09-27,27.69554328918457
2022-09-28,27.102519989013672
2022-09-29,27.13457679748535
2022-09-30,27.19869041442871
2022-10-03,26.878137588500977
2022-10-04,26.381284713745117
2022-10-05,26.637725830078125
2022-10-06,26.942245483398438
2022-10-07,27.22273063659668
2022-10-10,27.43910026550293
2022-10-11,27.503206253051758
2022-10-12,27.43910026550293
2022-10-13,27.415056228637695
2022-10-14,27.69554328918457
2022-10-17,27.350954055786133
2022-10-18,27.246768951416016
2022-10-19,27.727590560913086
2022-10-20,27.879854202270508
2022-10-21,27.591358184814453
2022-10-24,27.743619918823242
2022-10-25,27.399030685424805
2022-10-26,27.02238655090332
2022-10-27,27.094505310058594
2022-10-28,27.262794494628906
2022-10-31,27.4631404876709
2022-11-01,27.294851303100586
2022-11-02,27.53526496887207
2022-11-03,27.703548431396484
2022-11-04,27.38300132751465
2022-11-07,27.415056228637695
2022-11-08,27.006357192993164
2022-11-09,27.102519989013672
2022-11-10,26.044710159301758
2022-11-11,25.65203094482422
2022-11-14,25.74819564819336
2022-11-15,25.49175453186035
2022-11-16,25.30743980407715
2022-11-17,25.499771118164062
2022-11-18,25.627988815307617
2022-11-21,25.764223098754883
2022-11-22,25.595935821533203
2022-11-23,25.29942512512207
2022-11-25,25.2753849029541
2022-11-28,25.371551513671875
2022-11-29,25.42764663696289
2022-11-30,25.034975051879883
2022-12-01,24.770519256591797
2022-12-02,24.69038200378418
2022-12-05,24.938806533813477
2022-12-06,24.922779083251953
2022-12-07,24.71442413330078
2022-12-08,24.69038200378418
2022-12-09,24.874698638916016
2022-12-12,24.842641830444336
2022-12-13,24.642297744750977
2022-12-14,24.59421730041504
2022-12-15,24.58620262145996
2022-12-16,24.76250457763672
2022-12-19,24.75448989868164
2022-12-20,24.914766311645508
2022-12-21,24.810585021972656
2022-12-22,24.97887420654297
2022-12-23,24.954833984375
2022-12-27,24.994905471801758
2022-12-28,25.208209991455078
2022-12-29,25.070035934448242
2022-12-30,25.13912582397461
2023-01-03,25.078672409057617
2023-01-04,24.888683319091797
2023-01-05,24.93186378479004
2023-01-06,24.612333297729492
2023-01-09,24.586423873901367
2023-01-10,24.698692321777344
2023-01-11,24.543243408203125
2023-01-12,24.49143409729004
2023-01-13,24.52597427368164
2023-01-17,24.595060348510742
2023-01-18,24.430980682373047
2023-01-19,24.595060348510742
2023-01-20,24.57778549194336
2023-01-23,24.57778549194336
2023-01-24,24.56915283203125
2023-01-25,24.5518798828125
2023-01-26,24.595060348510742
2023-01-27,24.543243408203125
2023-01-30,24.543243408203125
2023-01-31,24.327346801757812
2023-02-01,24.422344207763672
2023-02-02,24.284170150756836
2023-02-03,24.30143928527832
2023-02-06,24.387802124023438
2023-02-07,24.5518798828125
2023-02-08,24.361892700195312
2023-02-09,24.508705139160156
2023-02-10,24.413707733154297
2023-02-13,24.52597427368164
2023-02-14,24.698692321777344
2023-02-15,24.6555118560791
2023-02-16,24.715965270996094
2023-02-17,24.64687728881836
2023-02-21,24.67278480529785
2023-02-22,24.586423873901367
2023-02-23,24.46552276611328
2023-02-24,24.603696823120117
2023-02-27,24.73323631286621
2023-02-28,24.508705139160156
2023-03-01,24.70732879638672
2023-03-02,24.802324295043945
2023-03-03,24.6555118560791
2023-03-06,24.810956954956055
2023-03-07,24.482797622680664
2023-03-08,24.5518798828125
2023-03-09,24.335983276367188
2023-03-10,23.59329605102539
2023-03-13,22.876514434814453
2023-03-14,23.36876106262207
2023-03-15,22.53108024597168
2023-03-16,22.80742835998535
2023-03-17,22.36699676513672
2023-03-20,22.64334487915039
2023-03-21,22.885150909423828
2023-03-22,22.53108024597168
2023-03-23,22.41880989074707
2023-03-24,22.19428062438965
2023-03-27,22.755613327026367
2023-03-28,22.746976852416992
2023-03-29,22.885150909423828
2023-03-30,22.902423858642578
2023-03-31,22.712430953979492
2023-04-03,22.582895278930664
2023-04-04,22.461992263793945
2023-04-05,22.323816299438477
2023-04-06,22.31517791748047
