,GBP
2020-02-20,1.2713700532913208
2020-02-21,1.267199993133545
2020-02-24,1.2678200006484985
2020-02-25,1.2663700580596924
2020-02-26,1.2691099643707275
2020-02-27,1.2600699663162231
2020-02-28,1.2485400438308716
2020-03-02,1.2344199419021606
2020-03-03,1.2232099771499634
2020-03-04,1.224910020828247
2020-03-05,1.2311999797821045
2020-03-06,1.2246999740600586
2020-03-09,1.2145999670028687
2020-03-10,1.213539958000183
2020-03-11,1.2092299461364746
2020-03-12,1.2034000158309937
2020-03-13,1.1868499517440796
2020-03-16,1.1729899644851685
2020-03-17,1.1617499589920044
2020-03-18,1.162950038909912
2020-03-19,1.1232600212097168
2020-03-20,1.135849952697754
2020-03-23,1.1446000337600708
2020-03-24,1.1379499435424805
2020-03-25,1.155500054359436
2020-03-26,1.1563400030136108
2020-03-27,1.1726200580596924
2020-03-29,1.1833399534225464
2020-03-30,1.1872400045394897
2020-03-31,1.192579984664917
2020-04-01,1.196179986000061
2020-04-02,1.2072999477386475
2020-04-05,1.1937999725341797
2020-04-06,1.1967699527740479
2020-04-07,1.1956100463867188
2020-04-08,1.2040300369262695
2020-04-09,1.203909993171692
2020-04-12,1.2032899856567383
2020-04-13,1.2103400230407715
2020-04-14,1.2117300033569336
2020-04-15,1.2082300186157227
2020-04-16,1.2101000547409058
2020-04-19,1.2083300352096558
2020-04-20,1.2041399478912354
2020-04-21,1.1925899982452393
2020-04-22,1.1985000371932983
2020-04-23,1.205780029296875
2020-04-26,1.2037999629974365
2020-04-27,1.2120399475097656
2020-04-28,1.210819959640503
2020-04-29,1.2145400047302246
2020-04-30,1.215749979019165
2020-05-03,1.1986500024795532
2020-05-04,1.201550006866455
2020-05-05,1.2102099657058716
2020-05-06,1.2019599676132202
2020-05-07,1.203950047492981
2020-05-10,1.205399990081787
2020-05-11,1.1995999813079834
2020-05-12,1.1881799697875977
2020-05-13,1.189579963684082
2020-05-14,1.19035005569458
2020-05-17,1.174489974975586
2020-05-18,1.1853899955749512
2020-05-19,1.1900399923324585
2020-05-20,1.180400013923645
2020-05-21,1.1862499713897705
2020-05-24,1.183459997177124
2020-05-25,1.185230016708374
2020-05-26,1.1904900074005127
2020-05-27,1.187059998512268
2020-05-28,1.1877100467681885
2020-05-31,1.1859500408172607
2020-06-01,1.1999900341033936
2020-06-02,1.2096699476242065
2020-06-03,1.2086800336837769
2020-06-04,1.2047799825668335
2020-06-07,1.223039984703064
2020-06-08,1.2193700075149536
2020-06-09,1.2088199853897095
2020-06-10,1.19937002658844
2020-06-11,1.1871000528335571
2020-06-14,1.1899900436401367
2020-06-15,1.1993299722671509
2020-06-16,1.1967899799346924
2020-06-17,1.1907199621200562
2020-06-18,1.1825000047683716
2020-06-21,1.175860047340393
2020-06-22,1.1835700273513794
2020-06-23,1.1829299926757812
2020-06-24,1.176800012588501
2020-06-25,1.1781200170516968
2020-06-28,1.1697399616241455
2020-06-29,1.1706600189208984
2020-06-30,1.1729999780654907
2020-07-01,1.1787199974060059
2020-07-02,1.1786099672317505
2020-07-05,1.1787899732589722
2020-07-06,1.1767499446868896
2020-07-07,1.1818699836730957
2020-07-08,1.18340003490448
2020-07-09,1.185230016708374
2020-07-12,1.1875
2020-07-13,1.1819000244140625
2020-07-14,1.1806999444961548
2020-07-15,1.1890000104904175
2020-07-16,1.1871700286865234
2020-07-19,1.179479956626892
2020-07-20,1.1885700225830078
2020-07-21,1.1870700120925903
2020-07-22,1.1834499835968018
2020-07-23,1.1778500080108643
2020-07-26,1.1783499717712402
2020-07-27,1.1850600242614746
2020-07-28,1.186210036277771
2020-07-29,1.1844199895858765
2020-07-30,1.191849946975708
2020-08-02,1.1966700553894043
2020-08-03,1.2000000476837158
2020-08-04,1.1940699815750122
2020-08-05,1.1918100118637085
2020-08-06,1.195449948310852
2020-08-09,1.1911100149154663
2020-08-10,1.197119951248169
2020-08-11,1.1971399784088135
2020-08-12,1.1895400285720825
2020-08-13,1.1888699531555176
2020-08-16,1.1907000541687012
2020-08-17,1.1880600452423096
2020-08-18,1.1964000463485718
2020-08-19,1.1991000175476074
2020-08-20,1.198930025100708
2020-08-23,1.1938999891281128
2020-08-24,1.1918400526046753
2020-08-25,1.1937999725341797
2020-08-26,1.1992299556732178
2020-08-27,1.1995699405670166
2020-08-30,1.2066999673843384
2020-08-31,1.207900047302246
2020-09-01,1.218369960784912
2020-09-02,1.2165299654006958
2020-09-03,1.2065000534057617
2020-09-06,1.210010051727295
2020-09-07,1.2055100202560425
2020-09-08,1.190369963645935
2020-09-09,1.1855900287628174
2020-09-10,1.1657700538635254
2020-09-13,1.1639100313186646
2020-09-14,1.1669000387191772
2020-09-15,1.1705100536346436
2020-09-16,1.1799499988555908
2020-09-17,1.1784100532531738
2020-09-20,1.1781699657440186
2020-09-21,1.1729999780654907
2020-09-22,1.1721800565719604
2020-09-23,1.1747000217437744
2020-09-24,1.1820600032806396
2020-09-27,1.184630036354065
2020-09-28,1.189039945602417
2020-09-29,1.1827800273895264
2020-09-30,1.1892999410629272
2020-10-01,1.1840800046920776
2020-10-04,1.1869100332260132
2020-10-05,1.1887799501419067
2020-10-06,1.1819000244140625
2020-10-07,1.1843600273132324
2020-10-08,1.1864700317382812
2020-10-11,1.1863399744033813
2020-10-12,1.187399983406067
2020-10-13,1.183750033378601
2020-10-14,1.1883200407028198
2020-10-15,1.1792700290679932
2020-10-18,1.1828700304031372
2020-10-19,1.1789400577545166
2020-10-20,1.174489974975586
2020-10-21,1.1892399787902832
2020-10-22,1.1867899894714355
