,JAAA
2022-09-06,39.91569519042969
2022-09-07,39.94403839111328
2022-09-08,39.790184020996094
2022-09-09,39.91569519042969
2022-09-12,39.96023178100586
2022-09-13,39.96428680419922
2022-09-14,39.9278450012207
2022-09-15,39.91974639892578
2022-09-16,39.935943603515625
2022-09-19,39.95214080810547
2022-09-20,39.94403839111328
2022-09-21,39.84686279296875
2022-09-22,39.871177673339844
2022-09-23,39.89546585083008
2022-09-26,39.91165542602539
2022-09-27,39.82258224487305
2022-09-28,39.790184020996094
2022-09-29,39.76186752319336
2022-09-30,39.757808685302734
2022-10-03,39.5628776550293
2022-10-04,39.67657470703125
2022-10-05,39.709068298339844
2022-10-06,39.85526657104492
2022-10-07,39.81466293334961
2022-10-10,39.63596725463867
2022-10-11,39.611610412597656
2022-10-12,39.57911682128906
2022-10-13,39.60348892211914
2022-10-14,39.58724594116211
2022-10-17,39.61811065673828
2022-10-18,39.611610412597656
2022-10-19,39.627845764160156
2022-10-20,39.644100189208984
2022-10-21,39.72530746459961
2022-10-24,39.657100677490234
2022-10-25,39.63596725463867
2022-10-26,39.644100189208984
2022-10-27,39.644100189208984
2022-10-28,39.644100189208984
2022-10-31,39.66845703125
2022-11-01,39.694541931152344
2022-11-02,39.686378479003906
2022-11-03,39.539676666259766
2022-11-04,39.74345016479492
2022-11-07,39.7515983581543
2022-11-08,39.74345016479492
2022-11-09,39.800506591796875
2022-11-10,39.833099365234375
2022-11-11,39.898319244384766
2022-11-14,39.87385559082031
2022-11-15,39.939064025878906
2022-11-16,40.02872848510742
2022-11-17,39.99612808227539
2022-11-18,40.118385314941406
2022-11-21,40.16729736328125
2022-11-22,40.12653350830078
2022-11-23,40.0776252746582
2022-11-25,40.1102294921875
2022-11-28,40.102088928222656
2022-11-29,40.224334716796875
2022-11-30,40.24879455566406
2022-12-01,40.23651123046875
2022-12-02,40.22014236450195
2022-12-05,40.25288391113281
2022-12-06,40.23651123046875
2022-12-07,40.22834014892578
2022-12-08,40.26925277709961
2022-12-09,40.28564453125
2022-12-12,40.408443450927734
2022-12-13,40.31019973754883
2022-12-14,40.37569046020508
2022-12-15,40.39206314086914
2022-12-16,40.408443450927734
2022-12-19,40.482120513916016
2022-12-20,40.416622161865234
2022-12-21,40.482120513916016
2022-12-22,40.70314407348633
2022-12-23,40.50661849975586
2022-12-27,40.490177154541016
2022-12-28,40.49840545654297
2022-12-29,40.61351776123047
2022-12-30,40.50661849975586
2023-01-03,40.564178466796875
2023-01-04,40.564178466796875
2023-01-05,40.55595397949219
2023-01-06,40.5477294921875
2023-01-09,40.580604553222656
2023-01-10,40.7039680480957
2023-01-11,40.58885955810547
2023-01-12,40.63818359375
2023-01-13,40.67930603027344
2023-01-17,40.71218490600586
2023-01-18,40.77796936035156
2023-01-19,40.79441833496094
2023-01-20,40.860206604003906
2023-01-23,40.85199737548828
2023-01-24,40.860206604003906
2023-01-25,40.89310836791992
2023-01-26,40.90953826904297
2023-01-27,40.93419647216797
2023-01-30,40.99999237060547
2023-01-31,41.032894134521484
2023-02-01,41.0172004699707
2023-02-02,41.054378509521484
2023-02-03,41.033729553222656
2023-02-06,41.11629867553711
2023-02-07,41.149356842041016
2023-02-08,41.1576042175293
2023-02-09,41.17413330078125
2023-02-10,41.165889739990234
2023-02-13,41.28976821899414
2023-02-14,41.17413330078125
2023-02-15,41.215431213378906
2023-02-16,41.24020767211914
2023-02-17,41.23195266723633
2023-02-21,41.23195266723633
2023-02-22,41.198909759521484
2023-02-23,41.215431213378906
2023-02-24,41.14111328125
2023-02-27,41.1823844909668
2023-02-28,41.2071647644043
2023-03-01,41.190582275390625
2023-03-02,41.21961212158203
2023-03-03,41.21131896972656
2023-03-06,41.277687072753906
2023-03-07,41.20301818847656
2023-03-08,41.227901458740234
2023-03-09,41.20301818847656
2023-03-10,41.18643569946289
2023-03-13,41.15324783325195
2023-03-14,40.96245574951172
2023-03-15,40.95416259765625
2023-03-16,40.98733901977539
2023-03-17,40.929264068603516
2023-03-20,40.95416259765625
2023-03-21,40.87950134277344
2023-03-22,40.94588088989258
2023-03-23,41.0537109375
2023-03-24,40.98733901977539
2023-03-27,40.97904586791992
2023-03-28,41.03711700439453
2023-03-29,41.095184326171875
2023-03-30,41.11177062988281
2023-03-31,41.07028579711914
2023-04-03,41.14031982421875
2023-04-04,41.173641204833984
2023-04-05,41.19031524658203
2023-04-06,41.156978607177734
2023-04-10,41.21532440185547
2023-04-11,41.2486572265625
2023-04-12,41.27366256713867
2023-04-13,41.29033279418945
2023-04-14,41.28199768066406
2023-04-17,41.29033279418945
2023-04-18,41.356998443603516
2023-04-19,41.29867172241211
2023-04-20,41.332000732421875
2023-04-21,41.38201904296875
2023-04-24,41.3653450012207
2023-04-25,41.34867858886719
2023-04-26,41.42368698120117
2023-04-27,41.465362548828125
2023-04-28,41.47370529174805
2023-05-01,41.499664306640625
2023-05-02,41.432655334472656
2023-05-03,41.482913970947266
2023-05-04,41.55830001831055
2023-05-05,41.516422271728516
2023-05-08,41.5247917175293
2023-05-09,41.50804901123047
2023-05-10,41.491294860839844
2023-05-11,41.499664306640625
2023-05-12,41.491294860839844
2023-05-15,41.50804901123047
2023-05-16,41.50804901123047
2023-05-17,41.55830001831055
2023-05-18,41.5499267578125
2023-05-19,41.5247917175293
2023-05-22,41.491294860839844
2023-05-23,41.5499267578125
2023-05-24,41.55830001831055
2023-05-25,41.57505416870117
2023-05-26,41.58343505859375
2023-05-30,41.59181213378906
2023-05-31,41.60857009887695
2023-06-01,41.64898681640625
2023-06-02,41.65739822387695
2023-06-05,41.674224853515625
2023-06-06,41.69108581542969
2023-06-07,41.707916259765625
2023-06-08,41.766849517822266
2023-06-09,41.7415885925293
2023-06-12,41.78368377685547
2023-06-13,41.758419036865234
2023-06-14,41.77526092529297
2023-06-15,41.800514221191406
2023-06-16,41.82577896118164
2023-06-20,41.86786651611328
2023-06-21,41.905757904052734
2023-06-22,41.91838836669922
2023-06-23,41.89313888549805
2023-06-26,41.92681121826172
2023-06-27,41.93523406982422
2023-06-28,41.96049499511719
2023-06-29,41.96049499511719
2023-06-30,41.968894958496094
2023-07-03,41.971435546875
2023-07-05,42.00528335571289
2023-07-06,41.996829986572266
2023-07-07,42.017982482910156
2023-07-10,42.05606460571289
2023-07-11,42.07298278808594
2023-07-12,42.06791305541992
2023-07-13,42.08991622924805
2023-07-14,42.14067459106445
2023-07-17,42.166053771972656
2023-07-18,42.19990921020508
2023-07-19,42.233760833740234
2023-07-20,42.259151458740234
2023-07-21,42.35223388671875
2023-07-24,42.360694885253906
2023-07-25,42.34376525878906
2023-07-26,42.369136810302734
2023-07-27,42.46223449707031
2023-07-28,42.479156494140625
2023-07-31,42.517234802246094
2023-08-01,42.557212829589844
2023-08-02,42.57423400878906
2023-08-03,42.61674880981445
2023-08-04,42.59123611450195
2023-08-07,42.58274841308594
2023-08-08,42.58274841308594
2023-08-09,42.59975814819336
2023-08-10,42.57423400878906
2023-08-11,42.60825729370117
2023-08-14,42.629520416259766
2023-08-15,42.64228820800781
2023-08-16,42.6252555847168
2023-08-17,42.667808532714844
2023-08-18,42.667808532714844
2023-08-21,42.667808532714844
2023-08-22,42.69331359863281
2023-08-23,42.73585891723633
2023-08-24,42.73585891723633
2023-08-25,42.74436569213867
2023-08-28,42.769866943359375
2023-08-29,42.803897857666016
2023-08-30,42.812400817871094
2023-08-31,42.82091522216797
2023-09-01,42.85000228881836
2023-09-05,42.90985870361328
2023-09-06,42.83289337158203
2023-09-07,42.85853958129883
2023-09-08,42.85853958129883
2023-09-11,42.892765045166016
2023-09-12,42.91841506958008
2023-09-13,42.91841506958008
2023-09-14,42.94407272338867
2023-09-15,42.952640533447266
2023-09-18,42.96973419189453
2023-09-19,42.98684310913086
2023-09-20,42.98684310913086
2023-09-21,43.02961349487305
2023-09-22,43.021060943603516
2023-09-25,43.03817367553711
2023-09-26,43.055259704589844
2023-09-27,43.03817367553711
2023-09-28,43.04670333862305
2023-09-29,43.04670333862305
2023-10-02,43.06907272338867
2023-10-03,43.06046676635742
2023-10-04,43.043277740478516
2023-10-05,43.00886535644531
2023-10-06,43.034664154052734
2023-10-09,43.06907272338867
2023-10-10,43.06907272338867
2023-10-11,43.034664154052734
2023-10-12,43.0518684387207
2023-10-13,43.06907272338867
2023-10-16,43.0518684387207
2023-10-17,43.07767105102539
2023-10-18,43.08627700805664
2023-10-19,43.10347366333008
2023-10-20,43.1120719909668
2023-10-23,43.1120719909668
2023-10-24,43.13787841796875
2023-10-25,43.15507125854492
2023-10-26,43.13787841796875
2023-10-27,43.18086624145508
2023-10-30,43.18947982788086
2023-10-31,43.21527099609375
2023-11-01,43.235145568847656
2023-11-02,43.243804931640625
2023-11-03,43.25244903564453
2023-11-06,43.312965393066406
2023-11-07,43.312965393066406
2023-11-08,43.312965393066406
2023-11-09,43.34754943847656
2023-11-10,43.35619354248047
2023-11-13,43.390769958496094
2023-11-14,43.399410247802734
2023-11-15,43.399410247802734
2023-11-16,43.442649841308594
2023-11-17,43.46856689453125
2023-11-20,43.47722244262695
2023-11-21,43.48587417602539
2023-11-22,43.49452209472656
2023-11-24,43.51180648803711
2023-11-27,43.52910614013672
2023-11-28,43.52910614013672
2023-11-29,43.5896110534668
2023-11-30,43.59825897216797
2023-12-01,43.629554748535156
2023-12-04,43.638267517089844
2023-12-05,43.66434860229492
2023-12-06,43.67304992675781
2023-12-07,43.61217498779297
2023-12-08,43.69913864135742
2023-12-11,43.7252197265625
2023-12-12,43.71653747558594
2023-12-13,43.7252197265625
2023-12-14,43.74261474609375
2023-12-15,43.86436080932617
2023-12-18,43.803489685058594
2023-12-19,43.86436080932617
2023-12-20,43.8730583190918
2023-12-21,43.9078483581543
2023-12-22,43.6904411315918
2023-12-26,43.70783233642578
2023-12-27,43.71653747558594
2023-12-28,43.7252197265625
