,IGF
2018-09-27,33.09157180786133
2018-09-28,33.20193099975586
2018-10-01,33.351707458496094
2018-10-02,33.351707458496094
2018-10-03,33.2098274230957
2018-10-04,32.91027069091797
2018-10-05,33.03639602661133
2018-10-08,33.067928314208984
2018-10-09,33.1152229309082
2018-10-10,32.61861801147461
2018-10-11,32.224483489990234
2018-10-12,32.224483489990234
2018-10-15,32.27177429199219
2018-10-16,32.79991149902344
2018-10-17,32.571319580078125
2018-10-18,32.350608825683594
2018-10-19,32.76838684082031
2018-10-22,32.55554962158203
2018-10-23,32.358489990234375
2018-10-24,32.20871353149414
2018-10-25,32.19294738769531
2018-10-26,31.91705322265625
2018-10-29,31.751510620117188
2018-10-30,32.019527435302734
2018-10-31,31.97223472595215
2018-11-01,32.3348388671875
2018-11-02,32.106239318847656
2018-11-05,32.531898498535156
2018-11-06,32.64225769042969
2018-11-07,33.10734939575195
2018-11-08,32.76050567626953
2018-11-09,32.650142669677734
2018-11-12,32.24812698364258
2018-11-13,32.34272384643555
2018-11-14,32.27177429199219
2018-11-15,32.20083236694336
2018-11-16,32.44519805908203
2018-11-19,32.30331039428711
2018-11-20,32.019527435302734
2018-11-21,32.074703216552734
2018-11-23,31.91705322265625
2018-11-26,32.256011962890625
2018-11-27,32.366371154785156
2018-11-28,32.602848052978516
2018-11-29,32.47672653198242
2018-11-30,32.58708190917969
2018-12-03,32.784149169921875
2018-12-04,32.48461151123047
2018-12-06,32.5949592590332
2018-12-07,32.48461151123047
2018-12-10,32.224483489990234
2018-12-11,32.42155075073242
2018-12-12,32.63438034057617
2018-12-13,32.697444915771484
2018-12-14,32.55554962158203
2018-12-17,32.074703216552734
2018-12-18,31.811681747436523
2018-12-19,31.85979652404785
2018-12-20,31.747528076171875
2018-12-21,31.354595184326172
2018-12-24,30.640893936157227
2018-12-26,31.37864875793457
2018-12-27,31.434785842895508
2018-12-28,31.555072784423828
2018-12-31,31.579124450683594
2019-01-02,31.627243041992188
2019-01-03,31.482898712158203
2019-01-04,32.196598052978516
2019-01-07,32.228675842285156
2019-01-08,32.70179748535156
2019-01-09,32.80604553222656
2019-01-10,33.13484191894531
2019-01-11,32.838130950927734
2019-01-14,32.64566421508789
2019-01-15,32.87821960449219
2019-01-16,33.006526947021484
2019-01-17,33.174922943115234
2019-01-18,33.279170989990234
2019-01-22,33.09473419189453
2019-01-23,33.35134506225586
2019-01-24,33.51974105834961
2019-01-25,33.720218658447266
2019-01-28,33.55984115600586
2019-01-29,33.768341064453125
2019-01-30,34.065040588378906
2019-01-31,34.25749969482422
2019-02-01,34.145240783691406
2019-02-04,34.38580322265625
2019-02-05,34.425907135009766
2019-02-06,34.2655143737793
2019-02-07,34.20137023925781
2019-02-08,34.08909606933594
2019-02-11,34.081085205078125
2019-02-12,34.249481201171875
2019-02-13,34.22542953491211
2019-02-14,34.29759979248047
2019-02-15,34.5782585144043
2019-02-19,34.738643646240234
2019-02-20,34.834869384765625
2019-02-21,34.979217529296875
2019-02-22,35.17168045043945
2019-02-25,35.00327682495117
2019-02-26,35.155635833740234
2019-02-27,35.09148025512695
2019-02-28,35.17969512939453
2019-03-01,35.20375061035156
2019-03-04,35.06743240356445
2019-03-05,35.04336929321289
2019-03-06,35.10752487182617
2019-03-07,35.011295318603516
2019-03-08,35.09950256347656
2019-03-11,35.34809494018555
2019-03-12,35.45234298706055
2019-03-13,35.53254318237305
2019-03-14,35.5485725402832
2019-03-15,35.7570686340332
2019-03-18,35.9094352722168
2019-03-19,35.949527740478516
2019-03-20,35.9334831237793
2019-03-21,35.949527740478516
2019-03-22,35.6528205871582
2019-03-25,35.781131744384766
2019-03-26,35.98160171508789
2019-03-27,35.89339828491211
2019-03-28,35.7570686340332
2019-03-29,35.941505432128906
2019-04-01,36.013675689697266
2019-04-02,36.06980895996094
2019-04-03,36.08584976196289
2019-04-04,36.04575729370117
2019-04-05,36.23019790649414
2019-04-08,36.16604232788086
2019-04-09,36.013675689697266
2019-04-10,36.10991287231445
2019-04-11,36.19010543823242
2019-04-12,36.22217559814453
2019-04-15,36.17406463623047
2019-04-16,35.96556091308594
2019-04-17,35.989627838134766
2019-04-18,35.941505432128906
2019-04-22,36.00565719604492
2019-04-23,36.08584976196289
2019-04-24,36.00565719604492
2019-04-25,36.23019790649414
2019-04-26,36.25425338745117
2019-04-29,36.15802764892578
2019-04-30,36.47878646850586
2019-05-01,36.17406463623047
2019-05-02,36.05377197265625
2019-05-03,36.23019790649414
2019-05-06,36.06179428100586
2019-05-07,35.79716491699219
2019-05-08,35.684898376464844
2019-05-09,35.66084289550781
2019-05-10,36.00565719604492
2019-05-13,35.86933135986328
2019-05-14,36.037742614746094
2019-05-15,35.97358703613281
2019-05-16,36.093868255615234
2019-05-17,36.14198684692383
2019-05-20,36.013675689697266
2019-05-21,36.246238708496094
2019-05-22,36.238216400146484
2019-05-23,36.246238708496094
2019-05-24,36.44670867919922
2019-05-28,36.10188674926758
2019-05-29,35.789154052734375
2019-05-30,35.853302001953125
2019-05-31,35.853302001953125
2019-06-03,36.029720306396484
2019-06-04,36.39057922363281
2019-06-05,36.687278747558594
2019-06-06,36.86370849609375
2019-06-07,37.096256256103516
2019-06-10,37.05615997314453
2019-06-11,37.08021926879883
2019-06-12,37.0321044921875
2019-06-13,37.200504302978516
2019-06-14,37.12833023071289
2019-06-17,36.97904586791992
2019-06-18,37.40324020385742
2019-06-19,37.68061065673828
2019-06-20,38.18639373779297
2019-06-21,38.1292839050293
2019-06-24,38.14560317993164
2019-06-25,37.77034378051758
2019-06-26,37.52560806274414
2019-06-27,37.51744842529297
2019-06-28,37.68876266479492
2019-07-01,37.57455825805664
2019-07-02,37.79481506347656
2019-07-03,38.28428649902344
2019-07-05,38.08849334716797
2019-07-08,37.92534637451172
2019-07-09,37.941654205322266
2019-07-10,38.1292839050293
2019-07-11,38.316917419433594
2019-07-12,38.26796340942383
