,CSBGC0.SW
2021-08-25,103.91881561279297
2021-08-26,103.57604217529297
2021-08-27,103.75645446777344
2021-08-30,103.77449035644531
2021-08-31,103.72037506103516
2021-09-01,103.34150695800781
2021-09-02,103.64820098876953
2021-09-03,103.72037506103516
2021-09-06,103.2332534790039
2021-09-07,102.74612426757812
2021-09-08,102.72808837890625
2021-09-09,103.37757873535156
2021-09-10,103.17912292480469
2021-09-13,103.14305877685547
2021-09-14,103.21521759033203
2021-09-15,103.03480529785156
2021-09-16,102.72808837890625
2021-09-17,102.3131332397461
2021-09-20,102.81829833984375
2021-09-21,102.72808837890625
2021-09-22,103.05282592773438
2021-09-23,102.49356842041016
2021-09-24,102.0785903930664
2021-09-27,101.95230102539062
2021-09-28,101.91622161865234
2021-09-29,102.1507568359375
2021-09-30,101.6816635131836
2021-10-01,102.38529968261719
2021-10-04,102.09664154052734
2021-10-05,101.8079605102539
2021-10-06,101.6816635131836
2021-10-07,101.59148406982422
2021-10-08,101.41106414794922
2021-10-11,100.90592193603516
2021-10-12,100.8156967163086
2021-10-13,101.28475189208984
2021-10-14,101.8079605102539
2021-10-15,101.50125122070312
2021-10-18,101.28475189208984
2021-10-19,101.06826782226562
2021-10-20,101.28475189208984
2021-10-21,100.9780502319336
2021-10-22,100.86981201171875
2021-10-25,101.03219604492188
2021-10-26,101.32084655761719
2021-10-27,101.60950469970703
2021-10-28,101.42911529541016
2021-10-29,100.63528442382812
2021-11-01,100.96002960205078
2021-11-02,101.73582458496094
2021-11-03,101.8079605102539
2021-11-04,101.69971466064453
2021-11-05,102.47550201416016
2021-11-08,102.52962493896484
2021-11-09,102.76416778564453
2021-11-10,102.40333557128906
2021-11-11,101.78992462158203
2021-11-12,101.91622161865234
2021-11-15,101.55540466308594
2021-11-16,101.30281829833984
2021-11-17,101.57344055175781
2021-11-18,101.91622161865234
2021-11-19,102.34923553466797
2021-11-22,102.36726379394531
2021-11-23,102.00643920898438
2021-11-24,101.66363525390625
2021-11-25,101.86209106445312
2021-11-26,102.72808837890625
2021-11-29,102.42139434814453
2021-11-30,102.72808837890625
2021-12-01,102.90850830078125
2021-12-02,103.25128936767578
2021-12-03,103.16107940673828
2021-12-06,103.44974517822266
2021-12-07,103.34150695800781
2021-12-08,103.2332534790039
2021-12-09,103.5580062866211
2021-12-10,103.64820098876953
2021-12-13,103.61212921142578
2021-12-14,103.53997039794922
2021-12-15,103.05282592773438
2021-12-16,103.28738403320312
2021-12-17,103.50387573242188
2021-12-20,103.43171691894531
2021-12-21,102.81829833984375
2021-12-22,102.49356842041016
2021-12-23,101.73582458496094
2021-12-27,102.1327133178711
2021-12-28,101.8981704711914
2021-12-29,101.41106414794922
2021-12-30,101.86209106445312
2022-01-03,101.0727767944336
2022-01-04,101.23516845703125
2022-01-05,100.89688110351562
2022-01-06,100.36463928222656
2022-01-07,100.40074920654297
2022-01-10,99.85047149658203
2022-01-11,100.04894256591797
2022-01-12,100.59017181396484
2022-01-13,100.93746185302734
2022-01-14,100.60370635986328
2022-01-17,100.3872299194336
2022-01-18,100.29651641845703
2022-01-19,100.12870788574219
2022-01-20,100.9540023803711
2022-01-21,101.22301483154297
2022-01-24,101.51484680175781
2022-01-25,101.42822265625
2022-01-26,101.15008544921875
2022-01-27,101.09080505371094
2022-01-28,100.63026428222656
2022-01-31,100.43421173095703
2022-02-01,100.24271392822266
2022-02-02,100.11504364013672
2022-02-03,99.28974914550781
2022-02-04,98.15897369384766
2022-02-07,98.41887664794922
2022-02-08,97.8398208618164
2022-02-09,98.5921401977539
2022-02-10,98.01306915283203
2022-02-11,98.52374267578125
2022-02-14,98.57389068603516
2022-02-15,97.99028015136719
2022-02-16,98.60581970214844
2022-02-17,98.69245147705078
2022-02-18,98.96146392822266
