,CHSRI.SW
2018-05-28,11.36238956451416
2018-05-29,11.36238956451416
2018-05-30,11.36238956451416
2018-05-31,11.147850036621094
2018-06-01,11.147850036621094
2018-06-04,11.147850036621094
2018-06-05,11.246870040893555
2018-06-06,11.271622657775879
2018-06-07,11.296377182006836
2018-06-08,11.296377182006836
2018-06-11,11.296377182006836
2018-06-12,11.296377182006836
2018-06-13,11.296377182006836
2018-06-14,11.502668380737305
2018-06-15,11.502668380737305
2018-06-18,11.263371467590332
2018-06-19,11.164353370666504
2018-06-20,11.164353370666504
2018-06-21,11.164353370666504
2018-06-22,11.205610275268555
2018-06-25,11.073586463928223
2018-06-26,11.073586463928223
2018-06-27,11.073586463928223
2018-06-28,11.040578842163086
2018-06-29,11.040578842163086
2018-07-02,11.065336227416992
2018-07-03,11.065336227416992
2018-07-04,11.156102180480957
2018-07-05,11.164353370666504
2018-07-06,11.164353370666504
2018-07-09,11.164353370666504
2018-07-10,11.164353370666504
2018-07-11,11.164353370666504
2018-07-12,11.337635040283203
2018-07-13,11.420150756835938
2018-07-16,11.420150756835938
2018-07-17,11.420150756835938
2018-07-18,11.420150756835938
2018-07-19,11.420150756835938
2018-07-20,11.41189956665039
2018-07-23,11.41189956665039
2018-07-24,11.486165046691895
2018-07-25,11.486165046691895
2018-07-26,11.527420997619629
2018-07-27,11.634692192077637
2018-07-30,11.634692192077637
2018-07-31,11.59343433380127
2018-08-02,11.58518123626709
2018-08-03,11.58518123626709
2018-08-06,11.58518123626709
2018-08-07,11.700702667236328
2018-08-08,11.700702667236328
2018-08-09,11.700702667236328
2018-08-10,11.59343433380127
2018-08-13,11.543925285339355
2018-08-14,11.436653137207031
2018-08-15,11.436653137207031
2018-08-16,11.436653137207031
2018-08-17,11.345887184143066
2018-08-20,11.477911949157715
2018-08-21,11.486165046691895
2018-08-22,11.469661712646484
2018-08-23,11.469661712646484
2018-08-24,11.494415283203125
2018-08-27,11.494415283203125
2018-08-28,11.61818790435791
2018-08-29,11.634692192077637
2018-08-30,11.634692192077637
2018-08-31,11.519168853759766
2018-09-03,11.510916709899902
2018-09-04,11.444906234741211
2018-09-05,11.419510841369629
2018-09-06,11.300999641418457
2018-09-07,11.267139434814453
2018-09-10,11.334859848022461
2018-09-11,11.334859848022461
2018-09-12,11.317928314208984
2018-09-13,11.317928314208984
2018-09-14,11.343323707580566
2018-09-17,11.343323707580566
2018-09-18,11.317928314208984
2018-09-19,11.334859848022461
2018-09-20,11.394113540649414
2018-09-21,11.394113540649414
2018-09-24,11.368720054626465
2018-09-25,11.368720054626465
2018-09-26,11.394113540649414
2018-09-27,11.394113540649414
2018-09-28,11.37718391418457
2018-10-01,11.42797565460205
2018-10-02,11.309462547302246
2018-10-03,11.351789474487305
2018-10-04,11.131693840026855
2018-10-05,11.047041893005371
2018-10-08,10.886201858520508
2018-10-09,10.826948165893555
2018-10-10,10.649179458618164
2018-10-11,10.369829177856445
2018-10-12,10.522202491760254
2018-10-15,10.518815040588379
2018-10-16,10.589923858642578
2018-10-17,10.581459999084473
2018-10-18,10.55606460571289
2018-10-19,10.5526762008667
2018-10-22,10.501885414123535
2018-10-23,10.501885414123535
2018-10-24,10.158202171325684
2018-10-25,10.154813766479492
2018-10-26,10.149735450744629
2018-10-29,10.327503204345703
2018-10-30,10.319039344787598
2018-10-31,10.572993278503418
2018-11-01,10.623783111572266
2018-11-02,10.623783111572266
2018-11-05,10.581459999084473
2018-11-06,10.581459999084473
2018-11-07,10.649179458618164
2018-11-08,10.657645225524902
2018-11-09,10.581459999084473
2018-11-12,10.412155151367188
2018-11-13,10.386759757995605
2018-11-14,10.310574531555176
