,AGGS.SW
2022-04-08,4.890500068664551
2022-04-11,4.879300117492676
2022-04-12,4.893499851226807
2022-04-13,4.895500183105469
2022-04-14,4.868500232696533
2022-04-19,4.843999862670898
2022-04-20,4.858500003814697
2022-04-21,4.834499835968018
2022-04-22,4.822000026702881
2022-04-25,4.84060001373291
2022-04-26,4.865300178527832
2022-04-27,4.8480000495910645
2022-04-28,4.843500137329102
2022-04-29,4.825500011444092
2022-05-02,4.802700042724609
2022-05-03,4.822500228881836
2022-05-04,4.803800106048584
2022-05-05,4.7895002365112305
2022-05-06,4.772799968719482
2022-05-09,4.7804999351501465
2022-05-10,4.7870001792907715
2022-05-11,4.797999858856201
2022-05-12,4.813499927520752
2022-05-13,4.809999942779541
2022-05-16,4.801000118255615
2022-05-17,4.798500061035156
2022-05-18,4.799499988555908
2022-05-19,4.80649995803833
2022-05-20,4.80810022354126
2022-05-23,4.809000015258789
2022-05-24,4.827700138092041
2022-05-25,4.82450008392334
2022-05-27,4.842700004577637
2022-05-30,4.81850004196167
2022-05-31,4.813899993896484
2022-06-01,4.798999786376953
2022-06-02,4.795899868011475
2022-06-03,4.788000106811523
2022-06-07,4.781000137329102
2022-06-08,4.7617998123168945
2022-06-09,4.740799903869629
2022-06-10,4.736499786376953
2022-06-13,4.6595001220703125
2022-06-14,4.632599830627441
2022-06-15,4.651400089263916
2022-06-16,4.636600017547607
2022-06-17,4.6717000007629395
2022-06-20,4.658599853515625
2022-06-21,4.6483001708984375
2022-06-22,4.671999931335449
2022-06-23,4.714099884033203
2022-06-24,4.704899787902832
2022-06-27,4.679999828338623
2022-06-28,4.669099807739258
2022-06-29,4.683499813079834
2022-06-30,4.72599983215332
2022-07-01,4.750500202178955
2022-07-04,4.735400199890137
2022-07-05,4.739299774169922
2022-07-06,4.743599891662598
2022-07-07,4.730000019073486
2022-07-08,4.7220001220703125
2022-07-11,4.726500034332275
2022-07-12,4.756499767303467
2022-07-13,4.753499984741211
2022-07-14,4.7241997718811035
2022-07-15,4.762199878692627
2022-07-18,4.740699768066406
2022-07-19,4.744999885559082
2022-07-20,4.730899810791016
2022-07-21,4.759300231933594
2022-07-22,4.794600009918213
2022-07-25,4.796999931335449
2022-07-26,4.805600166320801
2022-07-27,4.7845001220703125
2022-07-28,4.825300216674805
2022-07-29,4.832399845123291
2022-08-02,4.850399971008301
2022-08-03,4.794099807739258
2022-08-04,4.825500011444092
2022-08-05,4.835000038146973
2022-08-08,4.804500102996826
2022-08-09,4.801000118255615
2022-08-10,4.802499771118164
2022-08-11,4.802000045776367
2022-08-12,4.802599906921387
2022-08-15,4.811500072479248
2022-08-16,4.791900157928467
2022-08-17,4.7835001945495605
2022-08-18,4.7820000648498535
2022-08-19,4.755300045013428
2022-08-22,4.7434000968933105
2022-08-23,4.739999771118164
2022-08-24,4.714600086212158
2022-08-25,4.724999904632568
2022-08-26,4.714300155639648
2022-08-29,4.693999767303467
2022-08-30,4.703100204467773
2022-08-31,4.697999954223633
2022-09-01,4.666399955749512
2022-09-02,4.6620001792907715
2022-09-05,4.656499862670898
2022-09-06,4.65500020980835
2022-09-07,4.659900188446045
2022-09-08,4.666600227355957
2022-09-09,4.650100231170654
2022-09-12,4.65369987487793
2022-09-13,4.6545000076293945
2022-09-14,4.631999969482422
2022-09-15,4.630000114440918
2022-09-16,4.619500160217285
2022-09-19,4.603099822998047
2022-09-20,4.583600044250488
2022-09-21,4.5929999351501465
2022-09-22,4.576499938964844
2022-09-23,4.563000202178955
2022-09-26,4.530600070953369
2022-09-27,4.479000091552734
2022-09-28,4.504499912261963
2022-09-29,4.499000072479248
2022-09-30,4.526899814605713
2022-10-03,4.572800159454346
2022-10-04,4.568399906158447
2022-10-05,4.512499809265137
2022-10-06,4.52239990234375
2022-10-07,4.492000102996826
2022-10-10,4.488699913024902
2022-10-11,4.4745001792907715
2022-10-12,4.464900016784668
2022-10-13,4.474999904632568
2022-10-14,4.459000110626221
2022-10-17,4.4720001220703125
2022-10-18,4.480299949645996
2022-10-19,4.451000213623047
2022-10-20,4.451499938964844
2022-10-21,4.427499771118164
2022-10-24,4.439000129699707
2022-10-25,4.4552001953125
2022-10-26,4.4695000648498535
2022-10-27,4.4704999923706055
2022-10-28,4.506999969482422
2022-10-31,4.502200126647949
2022-11-01,4.482600212097168
2022-11-02,4.502200126647949
2022-11-03,4.464799880981445
2022-11-04,4.46999979019165
2022-11-07,4.453999996185303
2022-11-08,4.452199935913086
2022-11-09,4.480500221252441
2022-11-10,4.546000003814697
2022-11-11,4.520699977874756
2022-11-14,4.516499996185303
2022-11-15,4.540900230407715
2022-11-16,4.564799785614014
2022-11-17,4.557499885559082
2022-11-18,4.554699897766113
2022-11-21,4.565000057220459
2022-11-22,4.554900169372559
2022-11-23,4.561200141906738
2022-11-24,4.598999977111816
2022-11-25,4.578400135040283
2022-11-28,4.587100028991699
2022-11-29,4.5742998123168945
2022-11-30,4.559999942779541
2022-12-01,4.598499774932861
2022-12-02,4.617000102996826
2022-12-05,4.603000164031982
2022-12-06,4.623700141906738
2022-12-07,4.619500160217285
2022-12-08,4.623700141906738
2022-12-09,4.619500160217285
2022-12-12,4.616799831390381
2022-12-13,4.631999969482422
2022-12-14,4.617400169372559
2022-12-15,4.612599849700928
2022-12-16,4.5929999351501465
2022-12-19,4.566999912261963
2022-12-20,4.5493998527526855
2022-12-21,4.555300235748291
2022-12-22,4.561500072479248
2022-12-23,4.5528998374938965
2022-12-27,4.519999980926514
2022-12-28,4.531000137329102
2022-12-29,4.526000022888184
2022-12-30,4.525000095367432
2023-01-03,4.540200233459473
2023-01-04,4.545400142669678
2023-01-05,4.5320000648498535
2023-01-06,4.553999900817871
2023-01-09,4.585999965667725
2023-01-10,4.572999954223633
2023-01-11,4.583000183105469
2023-01-12,4.582499980926514
2023-01-13,4.6143999099731445
2023-01-16,4.601500034332275
2023-01-17,4.603000164031982
2023-01-18,4.63640022277832
2023-01-19,4.628499984741211
2023-01-20,4.607900142669678
2023-01-23,4.59630012512207
2023-01-24,4.600100040435791
2023-01-25,4.6097002029418945
2023-01-26,4.606100082397461
2023-01-27,4.602499961853027
2023-01-30,4.59689998626709
2023-01-31,4.579500198364258
2023-02-01,4.600900173187256
2023-02-02,4.664000034332275
2023-02-03,4.59499979019165
2023-02-06,4.604499816894531
2023-02-07,4.586100101470947
2023-02-08,4.581500053405762
2023-02-09,4.5954999923706055
2023-02-10,4.554500102996826
2023-02-13,4.565499782562256
2023-02-14,4.570499897003174
2023-02-15,4.546000003814697
2023-02-16,4.539999961853027
2023-02-17,4.545599937438965
2023-02-20,4.538599967956543
2023-02-21,4.515500068664551
2023-02-22,4.521999835968018
2023-02-23,4.51609992980957
2023-02-24,4.503600120544434
2023-02-27,4.506100177764893
2023-02-28,4.502799987792969
2023-03-01,4.482500076293945
2023-03-02,4.479300022125244
2023-03-03,4.48960018157959
2023-03-06,4.505899906158447
2023-03-07,4.501999855041504
2023-03-08,4.4980998039245605
2023-03-09,4.49560022354126
2023-03-10,4.539899826049805
2023-03-13,4.571499824523926
2023-03-14,4.559999942779541
2023-03-15,4.614500045776367
2023-03-16,4.599999904632568
2023-03-17,4.594299793243408
2023-03-20,4.590799808502197
2023-03-21,4.5721001625061035
2023-03-22,4.5655999183654785
2023-03-23,4.5991997718811035
2023-03-24,4.625
2023-03-27,4.597499847412109
2023-03-28,4.586400032043457
2023-03-29,4.570400238037109
2023-03-30,4.579599857330322
2023-03-31,4.5854997634887695
2023-04-03,4.592100143432617
2023-04-04,4.593500137329102
2023-04-05,4.601099967956543
2023-04-06,4.622099876403809
2023-04-11,4.592899799346924
2023-04-12,4.597400188446045
2023-04-13,4.600399971008301
2023-04-14,4.579999923706055
2023-04-17,4.563000202178955
2023-04-18,4.569300174713135
2023-04-19,4.558599948883057
2023-04-20,4.564700126647949
2023-04-21,4.557700157165527
2023-04-24,4.572400093078613
2023-04-25,4.584499835968018
2023-04-26,4.582499980926514
2023-04-27,4.570000171661377
2023-04-28,4.594699859619141
2023-05-02,4.579599857330322
2023-05-03,4.610000133514404
2023-05-04,4.599599838256836
2023-05-05,4.593299865722656
2023-05-08,4.587399959564209
2023-05-09,4.583899974822998
2023-05-10,4.584499835968018
2023-05-11,4.6031999588012695
2023-05-12,4.591300010681152
2023-05-15,4.5690999031066895
2023-05-16,4.5721001625061035
2023-05-17,4.575399875640869
2023-05-19,4.556600093841553
2023-05-22,4.544400215148926
2023-05-23,4.534800052642822
2023-05-24,4.54610013961792
2023-05-25,4.531199932098389
2023-05-26,4.51669979095459
2023-05-30,4.534999847412109
2023-05-31,4.550000190734863
2023-06-01,4.563899993896484
2023-06-02,4.5569000244140625
2023-06-05,4.545100212097168
2023-06-06,4.534200191497803
2023-06-07,4.545000076293945
2023-06-08,4.541299819946289
2023-06-09,4.541500091552734
2023-06-12,4.539999961853027
2023-06-13,4.53000020980835
2023-06-14,4.5279998779296875
2023-06-15,4.539400100708008
2023-06-16,4.536799907684326
2023-06-19,4.526299953460693
2023-06-20,4.542099952697754
2023-06-21,4.530300140380859
2023-06-22,4.531099796295166
2023-06-23,4.54640007019043
2023-06-26,4.550000190734863
2023-06-27,4.530300140380859
2023-06-28,4.540999889373779
2023-06-29,4.529900074005127
2023-06-30,4.541100025177002
2023-07-03,4.539999961853027
2023-07-04,4.530900001525879
2023-07-05,4.527900218963623
2023-07-06,4.486000061035156
2023-07-07,4.49459981918335
2023-07-10,4.4878997802734375
2023-07-11,4.491199970245361
2023-07-12,4.514699935913086
2023-07-13,4.5289998054504395
2023-07-14,4.534800052642822
2023-07-17,4.52400016784668
2023-07-18,4.542200088500977
2023-07-19,4.545000076293945
2023-07-20,4.5329999923706055
2023-07-21,4.528600215911865
2023-07-24,4.539999961853027
2023-07-25,4.525899887084961
2023-07-26,4.52400016784668
2023-07-27,4.530099868774414
2023-07-28,4.519100189208984
2023-07-31,4.525199890136719
2023-08-02,4.492000102996826
2023-08-03,4.482699871063232
2023-08-04,4.486599922180176
2023-08-07,4.489099979400635
2023-08-08,4.505000114440918
2023-08-09,4.507999897003174
2023-08-10,4.510499954223633
2023-08-11,4.489799976348877
2023-08-14,4.479000091552734
2023-08-15,4.465400218963623
2023-08-16,4.464099884033203
2023-08-17,4.457900047302246
2023-08-18,4.462500095367432
2023-08-21,4.442800045013428
2023-08-22,4.4446001052856445
2023-08-23,4.475599765777588
2023-08-24,4.471099853515625
2023-08-25,4.468800067901611
2023-08-28,4.4670000076293945
2023-08-29,4.46999979019165
2023-08-30,4.485599994659424
2023-08-31,4.49459981918335
2023-09-01,4.487599849700928
2023-09-04,4.471700191497803
2023-09-05,4.467800140380859
2023-09-06,4.455100059509277
2023-09-07,4.463200092315674
2023-09-08,4.4593000411987305
2023-09-11,4.455100059509277
2023-09-12,4.451099872589111
2023-09-13,4.457600116729736
2023-09-14,4.46999979019165
2023-09-15,4.453499794006348
2023-09-18,4.4430999755859375
2023-09-19,4.4456000328063965
2023-09-20,4.442200183868408
2023-09-21,4.420100212097168
2023-09-22,4.420300006866455
2023-09-25,4.417399883270264
2023-09-26,4.40749979019165
2023-09-27,4.4039998054504395
2023-09-28,4.383800029754639
2023-09-29,4.407100200653076
2023-10-02,4.383800029754639
2023-10-03,4.363100051879883
2023-10-04,4.36299991607666
2023-10-05,4.3649001121521
2023-10-06,4.367000102996826
2023-10-09,4.372700214385986
2023-10-10,4.388199806213379
2023-10-11,4.405200004577637
2023-10-12,4.392300128936768
2023-10-13,4.392099857330322
2023-10-16,4.384300231933594
2023-10-17,4.360400199890137
2023-10-18,4.349999904632568
2023-10-19,4.3379998207092285
2023-10-20,4.342599868774414
2023-10-23,4.332099914550781
2023-10-24,4.347099781036377
2023-10-25,4.340099811553955
2023-10-26,4.343100070953369
2023-10-27,4.360000133514404
2023-10-30,4.357699871063232
2023-10-31,4.368899822235107
2023-11-01,4.371200084686279
