,EUR
2021-02-18,1.0821000337600708
2021-02-19,1.0832699537277222
2021-02-22,1.0872600078582764
2021-02-23,1.0896999835968018
2021-02-24,1.0997999906539917
2021-02-25,1.1034200191497803
2021-02-26,1.1011199951171875
2021-03-01,1.0969300270080566
2021-03-02,1.1023199558258057
2021-03-03,1.1059099435806274
2021-03-04,1.108299970626831
2021-03-05,1.1120200157165527
2021-03-08,1.1092300415039062
2021-03-09,1.1093300580978394
2021-03-10,1.104200005531311
2021-03-11,1.1088000535964966
2021-03-12,1.1080399751663208
2021-03-15,1.1105600595474243
2021-03-16,1.1062999963760376
2021-03-17,1.1009000539779663
2021-03-18,1.1049599647521973
2021-03-19,1.1051199436187744
2021-03-22,1.1051599979400635
2021-03-23,1.101789951324463
2021-03-24,1.1064300537109375
2021-03-25,1.1054199934005737
2021-03-26,1.1063400506973267
2021-03-28,1.107450008392334
2021-03-29,1.1051000356674194
2021-03-30,1.1039999723434448
2021-03-31,1.106819987297058
2021-04-01,1.1094000339508057
2021-04-04,1.1086000204086304
2021-04-05,1.1059999465942383
2021-04-06,1.1051599979400635
2021-04-07,1.1031999588012695
2021-04-08,1.1011099815368652
2021-04-11,1.1007000207901
2021-04-12,1.0987199544906616
2021-04-13,1.1001100540161133
2021-04-14,1.1057300567626953
2021-04-15,1.1035499572753906
2021-04-18,1.1017199754714966
2021-04-19,1.1017999649047852
2021-04-20,1.1018999814987183
2021-04-21,1.1035200357437134
2021-04-22,1.1018999814987183
2021-04-25,1.104889988899231
2021-04-26,1.104699969291687
2021-04-27,1.1050100326538086
2021-04-28,1.1029900312423706
2021-04-29,1.1018999814987183
2021-05-02,1.0980000495910645
2021-05-03,1.0992000102996826
2021-05-04,1.0975899696350098
2021-05-05,1.0964499711990356
2021-05-06,1.0950499773025513
2021-05-09,1.0958600044250488
2021-05-10,1.0930999517440796
2021-05-11,1.0975799560546875
2021-05-12,1.0975899696350098
2021-05-13,1.0937999486923218
2021-05-16,1.0951800346374512
2021-05-17,1.0980700254440308
2021-05-18,1.096909999847412
2021-05-19,1.10030996799469
2021-05-20,1.0971699953079224
2021-05-23,1.0930999517440796
2021-05-24,1.095620036125183
2021-05-25,1.0967700481414795
2021-05-26,1.094480037689209
2021-05-27,1.0937700271606445
2021-05-30,1.0971399545669556
2021-05-31,1.0988999605178833
2021-06-01,1.0958900451660156
2021-06-02,1.0966800451278687
2021-06-03,1.095900058746338
2021-06-06,1.0938999652862549
2021-06-07,1.094099998474121
2021-06-08,1.0916999578475952
2021-06-09,1.091040015220642
2021-06-10,1.0890300273895264
2021-06-13,1.0872999429702759
2021-06-14,1.0901600122451782
2021-06-15,1.089460015296936
2021-06-16,1.0898699760437012
2021-06-17,1.093209981918335
2021-06-20,1.0949900150299072
2021-06-21,1.0942100286483765
2021-06-22,1.0964299440383911
2021-06-23,1.0954999923706055
2021-06-24,1.0951499938964844
2021-06-27,1.0945600271224976
2021-06-28,1.0969500541687012
2021-06-29,1.0959299802780151
2021-06-30,1.09660005569458
2021-07-01,1.0967400074005127
2021-07-04,1.0928000211715698
2021-07-05,1.094099998474121
2021-07-06,1.093209981918335
2021-07-07,1.0915600061416626
2021-07-08,1.0836700201034546
2021-07-11,1.0849000215530396
2021-07-12,1.0853999853134155
2021-07-13,1.0819200277328491
2021-07-14,1.082200050354004
2021-07-15,1.0840400457382202
2021-07-18,1.0850000381469727
2021-07-19,1.083299994468689
2021-07-20,1.0853099822998047
2021-07-21,1.082069993019104
2021-07-22,1.0819400548934937
2021-07-25,1.0825200080871582
2021-07-26,1.0808099508285522
2021-07-27,1.080899953842163
2021-07-28,1.0775599479675293
2021-07-29,1.0769599676132202
2021-08-01,1.0749200582504272
2021-08-02,1.0745999813079834
2021-08-03,1.0727900266647339
2021-08-04,1.073099970817566
2021-08-05,1.072700023651123
2021-08-08,1.075659990310669
2021-08-09,1.080780029296875
2021-08-10,1.0816099643707275
