,CHSPI.SW
2017-06-21,77.71346282958984
2017-06-22,78.00685119628906
2017-06-23,78.04777526855469
2017-06-26,78.59367370605469
2017-06-27,78.18428802490234
2017-06-28,78.15013885498047
2017-06-29,77.22894287109375
2017-06-30,76.92871856689453
2017-07-03,77.69978332519531
2017-07-04,77.4814453125
2017-07-05,77.38591003417969
2017-07-06,76.50565338134766
2017-07-07,76.76496124267578
2017-07-10,77.19483184814453
2017-07-11,76.63533020019531
2017-07-12,77.84308624267578
2017-07-13,77.79532623291016
2017-07-14,77.8771743774414
2017-07-17,77.9659194946289
2017-07-18,77.60887908935547
2017-07-19,78.18562316894531
2017-07-20,78.06888580322266
2017-07-21,77.37545776367188
2017-07-24,77.02536010742188
2017-07-25,77.32054901123047
2017-07-26,77.7393569946289
2017-07-27,77.95220947265625
2017-07-28,77.99337768554688
2017-07-31,78.0757827758789
2017-08-02,78.85843658447266
2017-08-03,78.98887634277344
2017-08-04,79.38021087646484
2017-08-07,79.20171356201172
2017-08-08,79.2291488647461
2017-08-09,78.11697387695312
2017-08-10,77.40292358398438
2017-08-11,76.74382781982422
2017-08-14,78.10321807861328
2017-08-15,78.10321807861328
2017-08-16,78.13752746582031
2017-08-17,78.13752746582031
2017-08-18,76.83306884765625
2017-08-21,76.79190826416016
2017-08-22,77.6638412475586
2017-08-23,77.47846221923828
2017-08-24,77.48532104492188
2017-08-25,77.29994201660156
2017-08-28,76.75755310058594
2017-08-29,76.35939025878906
2017-08-30,76.64772033691406
2017-08-31,77.25186157226562
2017-09-01,77.46471405029297
2017-09-04,76.88115692138672
2017-09-05,76.88115692138672
2017-09-06,76.78500366210938
2017-09-07,77.40292358398438
2017-09-08,77.19007110595703
2017-09-11,77.82176208496094
2017-09-12,78.27487182617188
2017-09-13,78.41901397705078
2017-09-14,78.52203369140625
2017-09-15,78.04828643798828
2017-09-18,78.41901397705078
2017-09-19,78.7348861694336
2017-09-20,78.7280044555664
2017-09-21,78.94770050048828
2017-09-22,79.09185791015625
2017-09-25,79.13309478759766
2017-09-26,78.8515625
2017-09-27,78.75543975830078
2017-09-28,78.81039428710938
2017-09-29,79.2772445678711
2017-10-02,79.78528594970703
2017-10-03,80.35511779785156
2017-10-04,80.36200714111328
2017-10-05,80.1766586303711
2017-10-06,80.06678771972656
2017-10-09,80.14230346679688
2017-10-10,80.34827423095703
2017-10-11,80.28646850585938
2017-10-12,80.65035247802734
2017-10-13,80.78766632080078
2017-10-16,80.37571716308594
2017-10-17,80.35511779785156
2017-10-18,80.6778564453125
2017-10-19,80.02557373046875
2017-10-20,80.0050048828125
2017-10-23,80.32769012451172
2017-10-24,79.74408721923828
2017-10-25,78.95455169677734
2017-10-26,79.96381378173828
2017-10-27,79.84021759033203
2017-10-30,79.82649993896484
2017-10-31,80.53361511230469
2017-11-01,80.6778564453125
2017-11-02,80.44440460205078
2017-11-03,81.04856872558594
2017-11-06,80.97300720214844
2017-11-07,80.4031982421875
2017-11-08,80.54051208496094
2017-11-09,79.79902648925781
2017-11-10,79.49005889892578
2017-11-13,79.6205062866211
2017-11-14,79.56558227539062
2017-11-15,79.37334442138672
2017-11-16,79.74408721923828
2017-11-17,79.72351837158203
2017-11-20,80.90435791015625
2017-11-21,81.1584243774414
2017-11-22,80.85633087158203
2017-11-23,80.97988891601562
2017-11-24,81.0005111694336
2017-11-27,80.85633087158203
2017-11-28,81.21337127685547
2017-11-29,80.80138397216797
2017-11-30,81.10348510742188
2017-12-01,81.07601165771484
2017-12-04,80.97300720214844
2017-12-05,80.72592163085938
2017-12-06,80.93869018554688
2017-12-07,80.56108093261719
2017-12-08,81.29571533203125
2017-12-11,81.00737762451172
2017-12-12,81.17901611328125
2017-12-13,81.5085678100586
2017-12-14,81.76947021484375
2017-12-15,81.47423553466797
2017-12-18,82.0372085571289
2017-12-19,81.68708038330078
2017-12-20,81.02106475830078
2017-12-21,81.87930297851562
2017-12-22,81.61154174804688
2017-12-27,81.98229217529297
2017-12-28,81.7625961303711
2017-12-29,81.49483489990234
2018-01-03,82.40109252929688
2018-01-04,82.79930877685547
2018-01-05,82.9778060913086
2018-01-08,82.92285919189453
2018-01-09,83.52706146240234
2018-01-10,82.93659973144531
2018-01-11,82.7718276977539
2018-01-12,83.00527954101562
2018-01-15,83.01899719238281
2018-01-16,82.59333038330078
2018-01-17,82.35989379882812
2018-01-18,82.4971923828125
2018-01-19,82.82673645019531
2018-01-22,82.89541625976562
2018-01-23,83.2661361694336
2018-01-24,83.2799301147461
2018-01-25,82.6070556640625
2018-01-26,82.88169860839844
2018-01-29,82.44230651855469
2018-01-30,82.12644958496094
2018-01-31,81.46734619140625
2018-02-01,81.2202377319336
2018-02-02,80.51992797851562
2018-02-05,79.39392852783203
2018-02-06,77.30681610107422
2018-02-07,78.65245819091797
2018-02-08,76.62022399902344
2018-02-09,75.85130310058594
2018-02-12,77.21066284179688
2018-02-13,76.55158233642578
2018-02-14,77.62263488769531
2018-02-15,77.75994873046875
2018-02-16,78.40531921386719
2018-02-19,77.77365112304688
2018-02-20,78.2954330444336
2018-02-21,78.39157104492188
2018-02-22,78.08951568603516
2018-02-23,78.26799011230469
2018-02-26,78.8996353149414
2018-02-27,78.5838394165039
2018-02-28,77.8560562133789
2018-03-01,76.97724914550781
2018-03-02,75.38444519042969
2018-03-05,76.78500366210938
2018-03-06,77.25466918945312
2018-03-07,77.13034057617188
2018-03-08,78.23535919189453
2018-03-09,78.45635986328125
2018-03-12,78.81549072265625
2018-03-13,78.02816772460938
2018-03-14,78.00052642822266
2018-03-15,78.5971450805664
2018-03-16,78.5138931274414
2018-03-19,77.69532775878906
2018-03-20,77.97283172607422
2018-03-21,77.6537094116211
2018-03-22,76.37726593017578
2018-03-23,75.93327331542969
2018-03-26,75.33670806884766
2018-03-27,76.40501403808594
2018-03-28,77.1958236694336
2018-03-29,77.39004516601562
2018-04-03,76.3217544555664
2018-04-04,75.87776184082031
2018-04-05,77.2374496459961
2018-04-06,77.12593078613281
2018-04-09,77.18169403076172
2018-04-10,77.82303619384766
2018-04-11,77.39083099365234
2018-04-12,77.8648452758789
2018-04-13,78.56609344482422
2018-04-16,78.63662719726562
2018-04-17,79.7652587890625
2018-04-18,79.59593200683594
2018-04-19,79.61006164550781
2018-04-20,79.51129150390625
2018-04-23,79.42667388916016
2018-04-24,79.2855453491211
2018-04-25,78.91876983642578
2018-04-26,79.84986114501953
2018-04-27,79.77935028076172
2018-04-30,80.4565200805664
2018-05-02,80.52704620361328
2018-05-03,80.259033203125
2018-05-04,80.41419219970703
2018-05-07,81.35941314697266
2018-05-08,81.04905700683594
2018-05-09,81.82495880126953
2018-05-11,81.58514404296875
2018-05-14,81.76853942871094
2018-05-15,81.54278564453125
2018-05-16,81.64156341552734
2018-05-17,81.82495880126953
2018-05-18,81.21831512451172
2018-05-22,81.30300903320312
2018-05-23,80.18848419189453
2018-05-24,79.68058013916016
2018-05-25,79.96272277832031
2018-05-28,80.28845977783203
2018-05-29,79.0848159790039
2018-05-30,78.56087493896484
2018-05-31,77.51302337646484
2018-06-01,78.78746032714844
2018-06-04,78.9998550415039
2018-06-05,78.44762420654297
2018-06-06,78.23518371582031
2018-06-07,78.34849548339844
2018-06-08,78.03697204589844
2018-06-11,78.98568725585938
2018-06-12,78.98568725585938
2018-06-13,79.38217163085938
2018-06-14,79.55210876464844
2018-06-15,79.33969116210938
2018-06-18,78.10773468017578
2018-06-19,77.68293762207031
2018-06-20,78.46176147460938
2018-06-21,77.5555191040039
2018-06-22,78.6741714477539
2018-06-25,77.42806243896484
2018-06-26,77.8245620727539
2018-06-27,78.10773468017578
2018-06-28,77.30060577392578
2018-06-29,78.6741714477539
2018-07-02,78.17857360839844
2018-07-03,78.90072631835938
2018-07-04,78.9715576171875
2018-07-05,79.2122573852539
2018-07-06,79.28304290771484
2018-07-09,79.8494644165039
2018-07-10,80.14681243896484
2018-07-11,79.59456634521484
2018-07-12,80.5433120727539
2018-07-13,80.86898803710938
2018-07-16,80.79823303222656
2018-07-17,80.49927520751953
2018-07-18,81.48147583007812
2018-07-19,81.26793670654297
2018-07-20,81.68077087402344
2018-07-23,81.66653442382812
2018-07-24,81.75192260742188
2018-07-25,81.82312774658203
2018-07-26,82.99040222167969
2018-07-27,83.30353546142578
2018-07-30,83.13275146484375
2018-07-31,83.1896743774414
2018-08-02,82.94770812988281
2018-08-03,83.01884460449219
2018-08-06,83.06156921386719
2018-08-07,83.55977630615234
2018-08-08,83.31780242919922
2018-08-09,83.07579803466797
2018-08-10,82.19322204589844
2018-08-13,81.78045654296875
2018-08-14,81.93697357177734
2018-08-15,81.26793670654297
2018-08-16,81.43879699707031
2018-08-17,81.72345733642578
2018-08-20,82.62026977539062
2018-08-21,82.6629638671875
2018-08-22,82.30713653564453
2018-08-23,82.36405944824219
2018-08-24,82.32135009765625
2018-08-27,82.83377838134766
2018-08-28,82.99040222167969
2018-08-29,82.57756805419922
2018-08-30,82.34980010986328
2018-08-31,81.99391174316406
2018-09-03,82.0081558227539
2018-09-04,81.5241928100586
2018-09-05,80.82665252685547
2018-09-06,80.35692596435547
2018-09-07,80.42808532714844
2018-09-10,81.18254089355469
2018-09-11,81.06867218017578
2018-09-12,81.56690216064453
2018-09-13,81.59534454345703
2018-09-14,81.63806915283203
2018-09-17,81.26793670654297
2018-09-18,81.1255874633789
2018-09-19,81.31067657470703
2018-09-20,81.79463195800781
2018-09-21,81.8088607788086
2018-09-24,81.26793670654297
2018-09-25,81.86580657958984
2018-09-26,82.33557891845703
2018-09-27,82.60607147216797
2018-09-28,82.43519592285156
2018-10-01,82.71992492675781
